Issued,Paid,Status,Location,Ward,Ticket Destination,Restriction,Outstanding,Contravention
09/03/2021 02:12,£0.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£60.00,34
09/03/2021 04:01,£0.00,Cancelled,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 05:44,-£30.00,Post NtO,Hunts Bank (Victoria Station Approach To Walkers Croft),Central,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 06:49,£0.00,Cancelled,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 06:57,£0.00,Cancelled,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 07:08,-£30.00,Post NtO,Wilmslow Road (Lorne Road to Wynnstay Grove),Rusholme,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 07:14,-£30.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 07:17,-£30.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 07:30,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 07:32,-£30.00,Post NtO,Cheetham Hill Road (Penrose Close to Queens Road),Cheetham,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 07:35,£0.00,Pre-NtO Full Rate,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 07:36,-£30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 07:36,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 07:37,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 07:42,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 07:43,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 07:46,-£30.00,Post NtO,Ashton Old Road (Turton Street to Fairfield Road),MP&NH,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 07:52,£0.00,Cancelled,HULME STREET CAR PARK,Deansgate,Affixed to vehicle,Car Park,£0.00,73
09/03/2021 07:54,£0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£60.00,34
09/03/2021 07:56,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 08:11,-£25.00,Pre-NtO Discount,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
09/03/2021 08:14,-£35.00,Pre-NtO Discount,Red Bank,Cheetham,Affixed to vehicle,Restricted Area,£0.00,1
09/03/2021 08:18,-£25.00,Pre-NtO Discount,Harter Street,Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,6
09/03/2021 08:18,-£30.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 08:18,-£35.00,Pre-NtO Discount,Red Bank,Cheetham,Affixed to vehicle,Restricted Area,£0.00,1
09/03/2021 08:19,-£35.00,Pre-NtO Discount,Seymour Road South,Clayt & Open,Affixed to vehicle,School Entrance Marking,£0.00,48
09/03/2021 08:23,-£25.00,Pre-NtO Discount,Clarence Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
09/03/2021 08:26,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 08:33,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 08:34,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 08:35,-£25.00,Pre-NtO Discount,Peter Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
09/03/2021 08:35,-£25.00,Pre-NtO Discount,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
09/03/2021 08:35,-£30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 08:36,-£35.00,Pre-NtO Discount,Wendover Road,Brooklands,Affixed to vehicle,No Waiting,£0.00,1
09/03/2021 08:36,£0.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£60.00,34
09/03/2021 08:37,£0.00,Pre-NtO Full Rate,Great Jackson Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,6
09/03/2021 08:41,£0.00,Cancelled,Wendover Road,Brooklands,Affixed to vehicle,No Waiting,£0.00,1
09/03/2021 08:45,-£35.00,Pre-NtO Discount,Cromwell Grove,Levenshulme,Affixed to vehicle,No Waiting,£0.00,1
09/03/2021 08:47,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 08:52,-£30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 08:53,-£35.00,Pre-NtO Discount,Waltham Road,WhalleyRange,Affixed to vehicle,Restricted Area,£0.00,1
09/03/2021 08:54,-£30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 08:58,£0.00,Pre-NtO Full Rate,Byrom Street (City Centre : ZONEA),Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,6
09/03/2021 08:59,£0.00,Pre-NtO Full Rate,Greenheys Lane,Hulme,Affixed to vehicle,Bus Stand,£70.00,47
09/03/2021 09:01,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 09:02,-£25.00,Pre-NtO Discount,Parsonage,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
09/03/2021 09:03,-£30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 09:08,-£25.00,Pre-NtO Discount,PICCADILLY GARDENS CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
09/03/2021 09:09,£0.00,Cancelled,DEANSGATE CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
09/03/2021 09:09,£0.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£60.00,34
09/03/2021 09:12,-£30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 09:12,-£25.00,Pre-NtO Discount,DEANSGATE CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,86
09/03/2021 09:15,£0.00,Cancelled,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
09/03/2021 09:17,-£25.00,Pre-NtO Discount,NORTHERN QUARTER CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
09/03/2021 09:18,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 09:21,-£25.00,Pre-NtO Discount,DEANSGATE CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
09/03/2021 09:22,£0.00,Pre-NtO Full Rate,NORTHERN QUARTER CAR PARK,(None),Affixed to vehicle,Car Park,£50.00,73
09/03/2021 09:24,-£25.00,Pre-NtO Discount,Great Jackson Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
09/03/2021 09:25,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 09:31,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 09:32,-£25.00,Pre-NtO Discount,DEANSGATE CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
09/03/2021 09:38,£0.00,Pre-NtO Full Rate,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 09:40,-£30.00,Post NtO,Oxford Road (Hathersage Road To Denmark Road),Rusholme,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 09:41,£0.00,Pre-NtO Full Rate,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 09:41,-£25.00,Pre-NtO Discount,DEANSGATE CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
09/03/2021 09:41,-£25.00,Pre-NtO Discount,DEANSGATE CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
09/03/2021 09:42,-£25.00,Pre-NtO Discount,Blantyre Street,Deansgate,Affixed to vehicle,Pay And Display,£0.00,6
09/03/2021 09:43,-£25.00,Pre-NtO Discount,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
09/03/2021 09:45,£0.00,Pre-NtO Full Rate,Dantzic Street (Cheetham),Cheetham,Affixed to vehicle,No Waiting,£70.00,1
09/03/2021 09:45,£0.00,Post NtO,Ardwick Green South (Ardwick Green North to Higher Ardwick),Ardwick,CCTV Issue,Bus Lane,£60.00,34
09/03/2021 09:46,£0.00,Pre-NtO Full Rate,Stockport Road (Longsight),Longsight,Affixed to vehicle,GV Loading Bay,£70.00,23
09/03/2021 09:46,-£30.00,Post NtO,Oxford Road (Hathersage Road To Denmark Road),Rusholme,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 09:48,-£25.00,Pre-NtO Discount,Jackson`s Row,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
09/03/2021 09:48,-£25.00,Pre-NtO Discount,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
09/03/2021 09:49,-£25.00,Pre-NtO Discount,DEANSGATE CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
09/03/2021 09:49,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 09:50,-£25.00,Pre-NtO Discount,NORTHERN QUARTER CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
09/03/2021 09:52,£0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£30.00,34
09/03/2021 09:53,-£25.00,Pre-NtO Discount,Spring Gardens,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,24
09/03/2021 09:56,-£50.00,Pre-NtO Full Rate,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
09/03/2021 09:57,-£25.00,Pre-NtO Discount,King Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
09/03/2021 09:58,-£25.00,Pre-NtO Discount,Booth Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
09/03/2021 10:00,-£25.00,Pre-NtO Discount,Booth Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
09/03/2021 10:01,-£30.00,Post NtO,Wilbraham Road (South of Barlow Moor Road),Chorlton,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 10:03,-£25.00,Pre-NtO Discount,Kennedy Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,24
09/03/2021 10:04,£0.00,Pre-NtO Full Rate,Byrom Street (City Centre : ZONEB),Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,24
09/03/2021 10:05,£0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£60.00,34
09/03/2021 10:06,£0.00,Cancelled,PICCADILLY GARDENS CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
09/03/2021 10:07,£0.00,Cancelled,Cambridge Street (City Centre),Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
09/03/2021 10:07,-£30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 10:10,-£30.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 10:10,£0.00,Pre-NtO Full Rate,Museum Street,City Centre,Affixed to vehicle,Pay and Display Parking,£50.00,6
09/03/2021 10:15,-£30.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 10:17,£0.00,Pre-NtO Full Rate,Sidney Street,Hulme,Affixed to vehicle,Disabled Persons Parking Place,£70.00,40
09/03/2021 10:17,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 10:18,-£35.00,Pre-NtO Discount,Egerton Crescent,Withington,Affixed to vehicle,Disabled Persons Parking Place,£0.00,40
09/03/2021 10:19,£0.00,Cancelled,BRIDGEWATER HALL CAR PARK,Southern Lap,Affixed to vehicle,Car Park,£0.00,73
09/03/2021 10:22,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 10:22,-£25.00,Pre-NtO Discount,KING STREET WEST CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
09/03/2021 10:23,-£35.00,Pre-NtO Discount,HIGHER ORMOND STREET,Ardwick,Affixed to vehicle,Disabled Bay,£0.00,40
09/03/2021 10:25,-£25.00,Pre-NtO Discount,St Mary`s Parsonage,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,5
09/03/2021 10:26,-£50.00,Pre-NtO Full Rate,KING STREET WEST CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
09/03/2021 10:27,-£25.00,Pre-NtO Discount,Faulkner Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
09/03/2021 10:32,£0.00,Cancelled,KING STREET WEST CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
09/03/2021 10:32,-£25.00,Pre-NtO Discount,Faulkner Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
09/03/2021 10:33,-£25.00,Pre-NtO Discount,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
09/03/2021 10:38,-£25.00,Pre-NtO Discount,Store Street (City Centre),Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,6
09/03/2021 10:43,-£30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 10:43,-£30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 10:44,£0.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£60.00,34
09/03/2021 10:44,-£35.00,Pre-NtO Discount,Wilbraham Road (WhalleyRange),WhalleyRange,Affixed to vehicle,No Waiting At Any Time,£0.00,1
09/03/2021 10:45,£0.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£60.00,34
09/03/2021 10:45,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 10:46,£0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£60.00,34
09/03/2021 10:46,£0.00,Pre-NtO Full Rate,Joiner Street,Piccadilly,Affixed to vehicle,No Waiting At Any Time,£70.00,1
09/03/2021 10:49,-£25.00,Pre-NtO Discount,KING STREET WEST CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
09/03/2021 10:49,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 10:51,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 10:52,-£30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 10:52,-£25.00,Pre-NtO Discount,Marsden Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
09/03/2021 10:53,-£35.00,Pre-NtO Discount,Goulden Road (DidsburyWest),Old Moat,Affixed to vehicle,No Waiting At Any Time,£0.00,27
09/03/2021 10:54,£0.00,Cancelled,Hulme Street,Hulme,Postal-vehicle drive away,Restricted Area,£0.00,6
09/03/2021 10:54,-£35.00,Pre-NtO Discount,BACK GEORGE STREET,Eastern Lap,Affixed to vehicle,No Waiting At Any Time,£0.00,1
09/03/2021 10:55,£0.00,Pre-NtO Full Rate,KING STREET WEST CAR PARK,(None),Affixed to vehicle,Car Park,£50.00,73
09/03/2021 10:55,-£25.00,Pre-NtO Discount,Thomas Street (City Centre),Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,6
09/03/2021 10:57,-£35.00,Pre-NtO Discount,Grafton Street (Hulme),Hulme,Affixed to vehicle,Disabled Persons Parking Place,£0.00,40
09/03/2021 10:57,£0.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£60.00,34
09/03/2021 10:58,-£25.00,Pre-NtO Discount,KING STREET WEST CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
09/03/2021 10:59,-£30.00,Post NtO,Oxford Road (Hathersage Road To Denmark Road),Rusholme,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 11:00,-£30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 11:03,-£35.00,Pre-NtO Discount,Hathersage Road,HATHROAD,Affixed to vehicle,No Waiting,£0.00,1
09/03/2021 11:03,£0.00,Cancelled,Southmill Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
09/03/2021 11:04,-£25.00,Pre-NtO Discount,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
09/03/2021 11:05,£0.00,Pre-NtO Full Rate,Byrom Street (City Centre : ZONEA),Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,6
09/03/2021 11:05,£0.00,Cancelled,CHINA TOWN CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
09/03/2021 11:07,-£25.00,Pre-NtO Discount,King Street West,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,5
09/03/2021 11:08,£0.00,Pre-NtO Full Rate,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 11:08,-£30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 11:09,-£35.00,Pre-NtO Discount,Delaunays Road (Crumpsall),Crumpsall,Affixed to vehicle,Restricted Area,£0.00,12
09/03/2021 11:10,-£30.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 11:12,-£35.00,Pre-NtO Discount,Delaunays Road (Crumpsall),Crumpsall,Affixed to vehicle,Restricted Area,£0.00,12
09/03/2021 11:12,£0.00,Cancelled,PICCADILLY GARDENS CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
09/03/2021 11:14,-£30.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 11:15,-£25.00,Pre-NtO Discount,KING STREET WEST CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
09/03/2021 11:16,£0.00,Cancelled,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 11:16,-£25.00,Pre-NtO Discount,Hall Car Park,(None),Affixed to vehicle,Car Park,£0.00,83
09/03/2021 11:18,-£30.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 11:18,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 11:18,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 11:18,-£25.00,Pre-NtO Discount,Hall Car Park,(None),Affixed to vehicle,Car Park,£0.00,83
09/03/2021 11:18,-£25.00,Pre-NtO Discount,Phoenix Street,City Centre,Affixed to vehicle,Pay and Display Parking,£0.00,5
09/03/2021 11:20,-£50.00,Pre-NtO Full Rate,Southmill Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,5
09/03/2021 11:20,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 11:20,-£25.00,Pre-NtO Discount,Birchin Lane,Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,5
09/03/2021 11:21,-£25.00,Pre-NtO Discount,Hall Car Park,(None),Affixed to vehicle,Car Park,£0.00,83
09/03/2021 11:21,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 11:21,-£25.00,Pre-NtO Discount,Blossom Street,Anc & Besw,Affixed to vehicle,Pay and Display Parking,£0.00,6
09/03/2021 11:22,-£25.00,Pre-NtO Discount,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
09/03/2021 11:22,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 11:22,-£25.00,Pre-NtO Discount,Chepstow Street South,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,5
09/03/2021 11:23,-£25.00,Pre-NtO Discount,BRIDGEWATER HALL CAR PARK,Southern Lap,Affixed to vehicle,Car Park,£0.00,82
09/03/2021 11:23,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 11:24,£0.00,Cancelled,CHINA TOWN CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
09/03/2021 11:24,-£50.00,Pre-NtO Full Rate,Southmill Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
09/03/2021 11:26,£0.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£60.00,34
09/03/2021 11:26,-£25.00,Pre-NtO Discount,NORTHERN QUARTER CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
09/03/2021 11:27,£0.00,Cancelled,SHEFFIELD STREET CAR PARK,Piccadilly,Affixed to vehicle,Car Park,£0.00,73
09/03/2021 11:28,-£25.00,Pre-NtO Discount,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
09/03/2021 11:28,-£30.00,Post NtO,Hunts Bank (Victoria Station Approach To Walkers Croft),Central,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 11:29,-£25.00,Pre-NtO Discount,Chepstow Street South,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
09/03/2021 11:29,-£35.00,Pre-NtO Discount,Ellesmere Street,Hulme,Affixed to vehicle,No Waiting At Any Time,£0.00,1
09/03/2021 11:30,-£35.00,Pre-NtO Discount,Cross Street,Deansgate,Affixed to vehicle,GV Loading Bay,£0.00,23
09/03/2021 11:32,-£25.00,Post NtO,Great Marlborough Street,Deansgate,Postal - Prevented From Serving,Pay and Display Parking,£0.00,6
09/03/2021 11:33,-£35.00,Pre-NtO Discount,Fountain Street (City Centre : ZONEC),Deansgate,Affixed to vehicle,Parking Places,£0.00,23
09/03/2021 11:33,-£30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 11:36,-£30.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 11:37,-£30.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 11:37,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 11:38,-£25.00,Pre-NtO Discount,Phoenix Street,City Centre,Affixed to vehicle,Pay and Display Parking,£0.00,6
09/03/2021 11:38,-£30.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 11:40,-£30.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 11:41,£0.00,Cancelled,Golf Car Park,(None),Affixed to vehicle,Car Park,£0.00,83
09/03/2021 11:41,-£35.00,Pre-NtO Discount,Hulme Street,Hulme,Handed To Driver,Restricted Area,£0.00,23
09/03/2021 11:45,-£30.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 11:46,-£35.00,Pre-NtO Discount,Fountain Street (City Centre : ZONEA),Deansgate,Affixed to vehicle,No Loading at Any Time,£0.00,2
09/03/2021 11:47,-£30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 11:47,£0.00,Pre-NtO Full Rate,Radium Street,Anc & Besw,Affixed to vehicle,No Waiting,£70.00,1
09/03/2021 11:49,-£25.00,Pre-NtO Discount,Dantzic Street (City Centre),Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,6
09/03/2021 11:50,£0.00,Pre-NtO Full Rate,Greenheys Lane,Hulme,Affixed to vehicle,Limited Waiting,£50.00,30
09/03/2021 11:51,£0.00,Cancelled,KING STREET WEST CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
09/03/2021 11:51,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 11:51,-£60.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 11:52,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 11:52,£0.00,Cancelled,Burlington Street,Hulme,Spoil,Limited Waiting Bay,£0.00,30
09/03/2021 11:53,-£30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 11:54,-£35.00,Pre-NtO Discount,Phoenix Street,City Centre,Affixed to vehicle,GV Loading Bay,£0.00,25
09/03/2021 11:55,£0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£60.00,34
09/03/2021 11:55,-£25.00,Pre-NtO Discount,Greenheys Lane,Hulme,Affixed to vehicle,Limited Waiting,£0.00,30
09/03/2021 11:55,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
09/03/2021 11:56,-£35.00,Pre-NtO Full Rate,Beckhampton Close,Ardwick,Affixed to vehicle,Restricted Area,£0.00,1
