Issued,Paid,Status,Location,Ward,Ticket Destination,Restriction,Outstanding,Contravention
01/03/2021 08:37,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/03/2021 08:37,-£25.00,Pre-NtO Discount,NORTHERN QUARTER CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
01/03/2021 08:41,-£25.00,Pre-NtO Discount,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
01/03/2021 08:44,-£25.00,Pre-NtO Discount,Chatham Street,Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,6
01/03/2021 08:44,£0.00,Post CC,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£90.00,34
01/03/2021 08:45,£0.00,Post CC,Wilmslow Road (Lorne Road to Wynnstay Grove),Rusholme,CCTV Issue,Bus Lane,£90.00,34
01/03/2021 08:46,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/03/2021 08:47,-£25.00,Pre-NtO Discount,St Mary`s Parsonage,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
01/03/2021 08:52,-£25.00,Pre-NtO Discount,West Mosely Street,Deansgate,Affixed to vehicle,Restricted Area,£0.00,6
01/03/2021 09:03,£0.00,Post NtO,King Street West,Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,6
01/03/2021 09:03,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/03/2021 09:04,£0.00,Post NtO,King Street West,Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,6
01/03/2021 09:04,-£30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/03/2021 09:04,-£25.00,Pre-NtO Discount,HULME STREET CAR PARK,Deansgate,Affixed to vehicle,Car Park,£0.00,73
01/03/2021 09:06,£0.00,Post NtO,Dickenson Road,Longsight,Affixed to vehicle,Restricted Area,£70.00,2
01/03/2021 09:08,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/03/2021 09:11,£0.00,Post CC,Wilmslow Road (Lorne Road to Wynnstay Grove),Rusholme,CCTV Issue,Bus Lane,£90.00,34
01/03/2021 09:11,-£35.00,Pre-NtO Discount,Stockport Road (Longsight),Longsight,Affixed to vehicle,No Loading at Any Time,£0.00,2
01/03/2021 09:12,-£50.00,Pre-NtO Full Rate,SHEFFIELD STREET CAR PARK,Piccadilly,Affixed to vehicle,Car Park,£0.00,73
01/03/2021 09:14,-£25.00,Pre-NtO Discount,SHEFFIELD STREET CAR PARK,Piccadilly,Affixed to vehicle,Car Park,£0.00,73
01/03/2021 09:14,-£30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/03/2021 09:14,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/03/2021 09:16,-£30.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£0.00,34
01/03/2021 09:18,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/03/2021 09:19,-£25.00,Pre-NtO Discount,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
01/03/2021 09:19,£0.00,Post NtO,Glenbarry Close,Ardwick,Affixed to vehicle,Pay and Display Parking,£50.00,6
01/03/2021 09:19,£0.00,Post CC,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£90.00,34
01/03/2021 09:20,£0.00,Post NtO,KING STREET WEST CAR PARK,(None),Affixed to vehicle,Car Park,£50.00,73
01/03/2021 09:23,£0.00,Post NtO,KING STREET WEST CAR PARK,(None),Affixed to vehicle,Car Park,£50.00,73
01/03/2021 09:24,-£35.00,Pre-NtO Discount,Cheapside,Deansgate,Affixed to vehicle,Disabled Persons Parking Place,£0.00,40
01/03/2021 09:24,-£30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/03/2021 09:24,£0.00,Cancelled,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/03/2021 09:24,£0.00,Pre-NtO Full Rate,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/03/2021 09:25,£0.00,Post NtO,Thomas Street (City Centre),Piccadilly,Affixed to vehicle,Pay and Display Parking,£50.00,6
01/03/2021 09:28,-£25.00,Pre-NtO Discount,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
01/03/2021 09:28,£0.00,Post NtO,Little Peter Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,6
01/03/2021 09:33,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/03/2021 09:36,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/03/2021 09:38,-£25.00,Pre-NtO Discount,Riga Street,City Centre,Affixed to vehicle,Pay and Display Parking,£0.00,6
01/03/2021 09:39,-£30.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/03/2021 09:40,£0.00,Cancelled,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
01/03/2021 09:40,-£30.00,Post NtO,Cheetham Hill Road (Bignor Street to Albyns Avenue),Cheetham,CCTV Issue,Bus Lane,£0.00,34
01/03/2021 09:46,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/03/2021 09:47,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/03/2021 09:48,£0.00,Cancelled,NORTHERN QUARTER CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
01/03/2021 09:48,£0.00,Post NtO,Store Street (City Centre),Piccadilly,Handed To Driver,Pay and Display Parking,£50.00,6
01/03/2021 09:52,£0.00,Pre-NtO Full Rate,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/03/2021 09:52,-£35.00,Pre-NtO Discount,Blackfriars Street,Deansgate,Affixed to vehicle,No Waiting At Any Time,£0.00,1
01/03/2021 09:53,-£30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/03/2021 09:56,-£25.00,Pre-NtO Discount,Deansgate,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
01/03/2021 09:56,£0.00,Post NtO,CHINA TOWN CAR PARK,(None),Affixed to vehicle,Car Park,£50.00,73
01/03/2021 09:56,-£30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/03/2021 09:57,-£25.00,Pre-NtO Discount,BRIDGEWATER HALL CAR PARK,Southern Lap,Affixed to vehicle,Car Park,£0.00,73
01/03/2021 09:58,-£30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/03/2021 10:01,£0.00,Post NtO,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£50.00,73
01/03/2021 10:03,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/03/2021 10:04,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/03/2021 10:05,-£25.00,Pre-NtO Discount,BRIDGEWATER HALL CAR PARK,Southern Lap,Affixed to vehicle,Car Park,£0.00,73
01/03/2021 10:05,-£25.00,Pre-NtO Discount,Peter Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
01/03/2021 10:05,-£25.00,Pre-NtO Discount,DEANSGATE CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
01/03/2021 10:07,£0.00,Post NtO,Caldey Road (Baguley),Baguley,Affixed to vehicle,No Waiting At Any Time,£70.00,1
01/03/2021 10:08,£0.00,Pre-NtO Full Rate,Deansgate,Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,6
01/03/2021 10:08,-£25.00,Pre-NtO Discount,PICCADILLY GARDENS CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
01/03/2021 10:10,£0.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£60.00,34
01/03/2021 10:10,-£60.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/03/2021 10:11,-£25.00,Pre-NtO Discount,Princess Street (Piccadilly : ZONEA),Piccadilly,Affixed to vehicle,Restricted Area,£0.00,6
01/03/2021 10:11,£0.00,Pre-NtO Full Rate,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/03/2021 10:12,-£35.00,Pre-NtO Discount,Rainforth Street,Longsight,Handed To Driver,No Waiting,£0.00,1
01/03/2021 10:13,-£30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/03/2021 10:13,-£30.00,Post NtO,Wilbraham Road (South of Barlow Moor Road),Chorlton,CCTV Issue,Bus Lane,£0.00,34
01/03/2021 10:13,-£30.00,Post NtO,Wilbraham Road (South of Barlow Moor Road),Chorlton,CCTV Issue,Bus Lane,£0.00,34
01/03/2021 10:14,-£25.00,Pre-NtO Discount,George Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
01/03/2021 10:17,-£35.00,Pre-NtO Discount,DENCOMBE STREET,Longsight,Handed To Driver,No Waiting At Any Time,£0.00,1
01/03/2021 10:19,£0.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£60.00,34
01/03/2021 10:21,-£25.00,Pre-NtO Discount,St John Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
01/03/2021 10:23,£0.00,Cancelled,BRIDGEWATER HALL CAR PARK,Southern Lap,Affixed to vehicle,Car Park,£0.00,73
01/03/2021 10:24,£0.00,Post CC,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£90.00,34
01/03/2021 10:28,-£25.00,Pre-NtO Discount,South King Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
01/03/2021 10:30,£0.00,Cancelled,DEANSGATE CAR PARK,(None),Spoil,Car Park,£0.00,73
01/03/2021 10:30,-£25.00,Pre-NtO Discount,Richmond Street,Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,6
01/03/2021 10:31,-£25.00,Pre-NtO Discount,Newton Street (City Centre),Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,6
01/03/2021 10:32,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/03/2021 10:32,£0.00,Post CC,Wilmslow Road (Lorne Road to Wynnstay Grove),Rusholme,CCTV Issue,Bus Lane,£90.00,34
01/03/2021 10:35,£0.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£30.00,34
01/03/2021 10:35,£0.00,Cancelled,Little Peter Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
01/03/2021 10:36,-£30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/03/2021 10:36,-£30.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/03/2021 10:39,-£25.00,Pre-NtO Discount,DEANSGATE CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
01/03/2021 10:41,-£30.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£0.00,34
01/03/2021 10:42,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/03/2021 10:42,£0.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£60.00,34
01/03/2021 10:45,£0.00,Cancelled,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
01/03/2021 10:46,-£25.00,Pre-NtO Discount,Harter Street,Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,6
01/03/2021 10:49,-£35.00,Pre-NtO Discount,Hathersage Road,HATHROAD,Affixed to vehicle,No Waiting,£0.00,1
01/03/2021 10:53,-£25.00,Pre-NtO Discount,Great Jackson Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
01/03/2021 10:53,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/03/2021 10:54,-£30.00,Post NtO,Wilbraham Road (South of Barlow Moor Road),Chorlton,CCTV Issue,Bus Lane,£0.00,34
01/03/2021 10:54,-£25.00,Pre-NtO Discount,Hall Car Park,(None),Affixed to vehicle,Car Park,£0.00,83
01/03/2021 10:57,-£30.00,Post NtO,Wilmslow Road (Lorne Road to Wynnstay Grove),Rusholme,CCTV Issue,Bus Lane,£0.00,34
01/03/2021 10:57,-£25.00,Pre-NtO Discount,Southmill Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
01/03/2021 10:57,-£30.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£0.00,34
01/03/2021 10:59,-£25.00,Pre-NtO Discount,CHINA TOWN CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
01/03/2021 10:59,-£140.00,Pre-NtO Discount,Oak Street (City Centre),Piccadilly,Affixed to vehicle,GV Loading Bay,£0.00,23
01/03/2021 11:01,£0.00,Post CC,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£90.00,34
01/03/2021 11:01,-£35.00,Pre-NtO Discount,Marsden Street,Deansgate,Affixed to vehicle,Disabled Persons Parking Place,£0.00,40
