Issued,Paid,Status,Location,Ward,Ticket Destination,Restriction,Outstanding,Contravention Code
03/04/2021 20:38,£0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£60.00,34
03/04/2021 20:40,£0.00,Pre-NtO Full Rate,Thurloe Street,Rusholme,Affixed to vehicle,No Loading at Any Time,£70.00,2
03/04/2021 20:42,£0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£60.00,34
03/04/2021 20:43,£0.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£60.00,34
03/04/2021 20:44,£0.00,Post NtO,Banff Road,Rusholme,Postal-vehicle drive away,No Loading at Any Time,£70.00,2
03/04/2021 20:44,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
03/04/2021 20:45,£0.00,Pre-NtO Full Rate,Oxford Road (Ardwick),Ardwick,Affixed to vehicle,No Loading at Any Time,£70.00,2
03/04/2021 20:45,-£35.00,Post NtO,Grandale Street,Moss Side,Postal-vehicle drive away,No Loading at Any Time,£0.00,2
03/04/2021 20:46,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
03/04/2021 20:47,-£30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
03/04/2021 20:47,£0.00,Post NtO,Lightbowne Road (Charlestown),Charlestown,Postal - Prevented From Serving,No Waiting At Any Time,£70.00,1
03/04/2021 20:47,£0.00,Post NtO,Bury Old Road,Crumpsall,Postal-vehicle drive away,Restricted Area,£70.00,47
03/04/2021 20:48,-£35.00,Post NtO,Bury Old Road,Crumpsall,Postal - Prevented From Serving,Restricted Area,£0.00,26
03/04/2021 20:49,£0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£60.00,34
03/04/2021 20:50,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
03/04/2021 20:55,-£35.00,Pre-NtO Discount,Ashton Old Road (Clayton & Openshaw),Clayt & Open,Affixed to vehicle,Restricted Area,£0.00,1
03/04/2021 20:56,-£30.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£0.00,34
03/04/2021 20:59,£0.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£60.00,34
03/04/2021 20:59,-£35.00,Post NtO,Wilmslow Road (Rusholme),Rusholme,Postal-vehicle drive away,Taxi Clearway,£0.00,45
03/04/2021 20:59,£0.00,Pre-NtO Full Rate,Tib Street (City Centre),Piccadilly,Affixed to vehicle,GV Loading Bay,£70.00,25
03/04/2021 21:01,-£35.00,Post NtO,Park Crescent,Rusholme,Postal-vehicle drive away,Disabled Persons Parking Place,£0.00,40
03/04/2021 21:02,-£30.00,Post NtO,Wilbraham Road (South of Barlow Moor Road),Chorlton,CCTV Issue,Bus Lane,£0.00,34
03/04/2021 21:03,-£35.00,Post NtO,Great Western Street (Moss Side),Moss Side,Postal-vehicle drive away,No Loading at Any Time,£0.00,2
03/04/2021 21:04,-£30.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£0.00,34
03/04/2021 21:06,-£35.00,Post NtO,Oxford Road (Ardwick),Ardwick,Postal-vehicle drive away,No Loading at Any Time,£0.00,2
03/04/2021 21:06,-£35.00,Pre-NtO Discount,Oxford Road (Ardwick),Ardwick,Affixed to vehicle,No Loading at Any Time,£0.00,2
03/04/2021 21:07,-£35.00,Post NtO,Ashton New Road (Clay&Op),Clayt & Open,Postal-vehicle drive away,Restricted Area,£0.00,1
03/04/2021 21:10,£0.00,Pre-NtO Full Rate,North Street,Cheetham,Affixed to vehicle,No Waiting At Any Time,£70.00,1
03/04/2021 21:17,£0.00,Post NtO,Oxford Road (Ardwick),Ardwick,Postal-vehicle drive away,No Loading at Any Time,£35.00,2
03/04/2021 21:22,-£35.00,Post NtO,Rusholme Place (Rusholme),Rusholme,Postal-vehicle drive away,No Loading at Any Time,£0.00,2
03/04/2021 21:22,£35.00,Cancelled,Hyde Road (Gorton & Abbey Hey),Gort & Abb H,Affixed to vehicle,Restricted Area,£35.00,1
03/04/2021 21:24,£0.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£60.00,34
03/04/2021 21:32,-£35.00,Pre-NtO Discount,Wilmslow Road (Rusholme),Rusholme,Affixed to vehicle,Taxi Clearway,£0.00,45
03/04/2021 21:33,-£35.00,Post NtO,Thurloe Street,Rusholme,Postal-vehicle drive away,No Loading at Any Time,£0.00,2
03/04/2021 21:38,£0.00,Post NtO,Grandale Street,Moss Side,Postal-vehicle drive away,No Loading at Any Time,£70.00,2
03/04/2021 21:38,-£35.00,Post NtO,Thurloe Street,Rusholme,Postal-vehicle drive away,No Loading at Any Time,£0.00,2
03/04/2021 21:45,-£35.00,Post NtO,Dagenham Road,Rusholme,Postal-vehicle drive away,No Loading at Any Time,£0.00,2
03/04/2021 21:46,-£35.00,Pre-NtO Discount,Claremont Road (Moss Side),Moss Side,Handed To Driver,No Loading at Any Time,£0.00,2
03/04/2021 21:51,-£35.00,Pre-NtO Discount,Rusholme Place (Rusholme),Rusholme,Affixed to vehicle,No Loading at Any Time,£0.00,2
03/04/2021 21:51,-£35.00,Post NtO,Grandale Street,Moss Side,Postal-vehicle drive away,No Loading at Any Time,£0.00,2
03/04/2021 21:55,-£35.00,Pre-NtO Discount,Banff Road,Rusholme,Affixed to vehicle,No Loading at Any Time,£0.00,2
03/04/2021 21:57,£0.00,Pre-NtO Full Rate,Rusholme Place (Rusholme),Rusholme,Handed To Driver,No Loading at Any Time,£70.00,2
03/04/2021 22:00,-£35.00,Post NtO,Rusholme Place (Rusholme),Rusholme,Postal-vehicle drive away,No Loading at Any Time,£0.00,2
03/04/2021 22:04,£0.00,Post NtO,Dagenham Road,Rusholme,Postal-vehicle drive away,No Loading at Any Time,£35.00,2
03/04/2021 22:07,-£35.00,Pre-NtO Discount,Park Crescent,Rusholme,Affixed to vehicle,No Waiting At Any Time,£0.00,1
03/04/2021 22:09,£0.00,Pre-NtO Full Rate,Great Western Street (Moss Side),Moss Side,Postal-vehicle drive away,No Loading at Any Time,£0.00,2
03/04/2021 22:09,-£35.00,Post NtO,Wilmslow Road (Rusholme),Rusholme,Postal-vehicle drive away,Taxi Stand,£0.00,45
03/04/2021 22:09,-£25.00,Pre-NtO Discount,STONE STREET CAR PARK,Deansgate,Affixed to vehicle,Car Park,£0.00,82
03/04/2021 22:15,-£30.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£0.00,34
03/04/2021 22:18,-£35.00,Post NtO,Wilbraham Road (Chorlton),Chorlton,Postal-vehicle drive away,No Waiting At Any Time,£0.00,1
03/04/2021 22:20,£35.00,Cancelled,Houldsworth Street (City Centre),Piccadilly,Spoil,No Waiting,£35.00,1
03/04/2021 22:22,-£30.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£0.00,34
03/04/2021 22:23,£25.00,Cancelled,Thomas Street (City Centre),Piccadilly,Spoil,Pay and Display Parking,£25.00,6
03/04/2021 22:25,-£35.00,Post NtO,Grandale Street,Moss Side,Postal-vehicle drive away,No Loading at Any Time,£0.00,2
03/04/2021 22:27,-£35.00,Post NtO,Wilbraham Road (Chorlton),Chorlton,Postal-vehicle drive away,Disabled Persons Parking Place,£0.00,40
03/04/2021 22:27,-£35.00,Pre-NtO Discount,Wilbraham Road (Chorlton),Chorlton,Affixed to vehicle,No Waiting At Any Time,£0.00,1
03/04/2021 22:27,-£30.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£0.00,34
03/04/2021 22:29,-£35.00,Post NtO,Wilbraham Road (Chorlton),Chorlton,Postal-vehicle drive away,Disabled Persons Parking Place,£0.00,40
03/04/2021 22:30,-£30.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£0.00,34
03/04/2021 22:32,£0.00,Post NtO,Wilbraham Road (South of Barlow Moor Road),Chorlton,CCTV Issue,Bus Lane,£30.00,34
03/04/2021 22:34,-£35.00,Post NtO,Oxford Road (Ardwick),Ardwick,Postal-vehicle drive away,No Loading at Any Time,£0.00,2
03/04/2021 22:36,-£70.00,Post NtO,Oxford Road (Ardwick),Ardwick,Postal-vehicle drive away,No Loading at Any Time,£0.00,2
03/04/2021 22:50,-£70.00,Pre-NtO Full Rate,Wilmslow Road (Rusholme),Rusholme,Affixed to vehicle,Taxi Stand,£0.00,45
03/04/2021 22:50,-£35.00,Post NtO,Wilmslow Road (Rusholme),Rusholme,Postal - Prevented From Serving,No Waiting At Any Time,£0.00,26
03/04/2021 22:50,-£30.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£0.00,34
03/04/2021 22:51,-£30.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£0.00,34
03/04/2021 22:53,-£35.00,Pre-NtO Discount,Thurloe Street,Rusholme,Handed To Driver,No Loading at Any Time,£0.00,2
03/04/2021 22:58,£0.00,Post NtO,Wilmslow Road (Rusholme),Rusholme,Postal-vehicle drive away,Disabled Persons Parking Place,£70.00,40
03/04/2021 23:02,£0.00,Pre-NtO Full Rate,Oxford Road (Ardwick),Ardwick,Postal-vehicle drive away,No Loading at Any Time,£0.00,2
03/04/2021 23:04,-£30.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£0.00,34
03/04/2021 23:05,£35.00,Pre-NtO Discount,Oxford Road (Ardwick),Ardwick,Handed To Driver,No Loading at Any Time,£35.00,2
03/04/2021 23:05,£30.00,Cancelled,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£30.00,34
03/04/2021 23:05,-£35.00,Pre-NtO Discount,Oxford Road (Ardwick),Ardwick,Affixed to vehicle,No Waiting At Any Time,£0.00,1
03/04/2021 23:06,£0.00,Pre-NtO Full Rate,Water Street (Hulme),Hulme,Affixed to vehicle,No Waiting At Any Time,£70.00,1
03/04/2021 23:07,£0.00,Pre-NtO Full Rate,Grandale Street,Moss Side,Postal-vehicle drive away,No Loading at Any Time,£0.00,2
03/04/2021 23:17,-£35.00,Pre-NtO Discount,Dagenham Road,Rusholme,Affixed to vehicle,No Waiting At Any Time,£0.00,1
03/04/2021 23:18,£0.00,Pre-NtO Full Rate,Dantzic Street (City Centre),Piccadilly,Affixed to vehicle,Taxi Stand,£70.00,45
03/04/2021 23:25,-£35.00,Pre-NtO Discount,Oxford Road (Ardwick),Ardwick,Affixed to vehicle,No Loading at Any Time,£0.00,2
03/04/2021 23:33,-£35.00,Pre-NtO Discount,Oxford Road (Ardwick),Ardwick,Affixed to vehicle,No Loading at Any Time,£0.00,2
03/04/2021 23:34,£0.00,Post NtO,Oxford Road (Ardwick),Ardwick,Postal-vehicle drive away,No Loading at Any Time,£35.00,2
03/04/2021 23:36,-£35.00,Pre-NtO Discount,Scotland,Cheetham,Affixed to vehicle,Restricted Areas,£0.00,1
03/04/2021 23:36,£0.00,Pre-NtO Full Rate,scotland,Cheetham,Affixed to vehicle,Restricted Areas,£70.00,1
03/04/2021 23:37,£0.00,Post NtO,Oxford Road (Ardwick),Ardwick,Postal-vehicle drive away,No Loading at Any Time,£70.00,2
03/04/2021 23:43,£0.00,Post NtO,Sidney Street,Hulme,Postal-vehicle drive away,Disabled Persons Parking Place,£70.00,40
04/04/2021 00:09,-£30.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£0.00,34
04/04/2021 00:50,-£70.00,Pre-NtO Discount,Hulme Hall Road,Hulme,Affixed to vehicle,No Waiting At Any Time,£0.00,27
04/04/2021 01:00,-£35.00,Post NtO,Oxford Road (Ardwick),Ardwick,Postal-vehicle drive away,No Loading at Any Time,£0.00,2
04/04/2021 01:00,-£35.00,Pre-NtO Discount,Oxford Road (Ardwick),Ardwick,Affixed to vehicle,No Loading at Any Time,£0.00,2
04/04/2021 01:03,-£35.00,Post NtO,Oxford Road (Ardwick),Ardwick,Postal-vehicle drive away,No Loading at Any Time,£0.00,2
04/04/2021 01:04,£0.00,Post NtO,Oxford Road (Ardwick),Ardwick,Postal-vehicle drive away,No Loading at Any Time,£70.00,2
04/04/2021 01:05,-£35.00,Post NtO,Oxford Road (Ardwick),Ardwick,Postal-vehicle drive away,No Waiting At Any Time,£0.00,1
04/04/2021 01:16,£0.00,Post NtO,Oxford Road (Ardwick),Ardwick,Postal-vehicle drive away,No Loading at Any Time,£70.00,2
04/04/2021 01:18,£70.00,Cancelled,Oxford Road (Ardwick),Ardwick,Postal-vehicle drive away,Bus stop clearway,£70.00,47
04/04/2021 01:27,£0.00,Post NtO,Oxford Road (Ardwick),Ardwick,Postal-vehicle drive away,Bus stop clearway,£35.00,47
04/04/2021 01:28,£0.00,Post NtO,Ash Tree Road,Crumpsall,Postal - Prevented From Serving,No Waiting At Any Time,£70.00,1
04/04/2021 01:28,-£35.00,Post NtO,Oxford Road (Ardwick),Ardwick,Postal-vehicle drive away,No Loading at Any Time,£0.00,2
04/04/2021 01:32,-£35.00,Pre-NtO Discount,Oxford Road (Ardwick),Ardwick,Handed To Driver,Bus stop clearway,£0.00,47
04/04/2021 01:40,-£35.00,Post NtO,Cheetham Hill Road,Cheetham,Postal-vehicle drive away,Restricted Area,£0.00,1
04/04/2021 01:52,-£35.00,Pre-NtO Discount,Grosvenor Street (Ardwick),Ardwick,Affixed to vehicle,Restricted Area,£0.00,23
04/04/2021 01:52,£0.00,Pre-NtO Full Rate,Lord Street,Cheetham,Affixed to vehicle,No Waiting At Any Time,£70.00,1
04/04/2021 02:23,£0.00,Pre-NtO Full Rate,Vicker Grove,DidsburyWest,Affixed to vehicle,Restricted Area,£70.00,1
04/04/2021 02:38,-£35.00,Pre-NtO Discount,Cavendish Road,DidsburyWest,Affixed to vehicle,No Waiting At Any Time,£0.00,1
04/04/2021 02:41,-£35.00,Pre-NtO Discount,Scotland,Cheetham,Affixed to vehicle,Restricted Areas,£0.00,1
04/04/2021 02:44,£0.00,Pre-NtO Full Rate,Cavendish Road,DidsburyWest,Affixed to vehicle,No Waiting At Any Time,£70.00,1
04/04/2021 02:46,-£35.00,Pre-NtO Discount,Corporation Street,Piccadilly,Affixed to vehicle,Restricted Area,£0.00,40
04/04/2021 02:59,£0.00,Post NtO,Oldham Road,Piccadilly,Postal-vehicle drive away,Restricted Area,£70.00,1
04/04/2021 03:18,-£35.00,Pre-NtO Discount,Hulme Hall Road,Hulme,Affixed to vehicle,No Waiting At Any Time,£0.00,1
04/04/2021 04:05,-£35.00,Pre-NtO Discount,Hulme Hall Road,Hulme,Affixed to vehicle,No Waiting At Any Time,£0.00,1
04/04/2021 04:19,£0.00,Pre-NtO Full Rate,Lord Street,Cheetham,Affixed to vehicle,No Waiting At Any Time,£70.00,1
04/04/2021 06:35,£0.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£60.00,34
04/04/2021 07:55,-£25.00,Pre-NtO Discount,Old Mill Street,Anc & Besw,Affixed to vehicle,Restricted Area,£0.00,24
04/04/2021 08:02,£140.00,Cancelled,Arundel Street,Hulme,Affixed to vehicle,Restricted Area,£140.00,1
04/04/2021 08:09,-£25.00,Pre-NtO Discount,Birchin Lane,Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,6
04/04/2021 08:10,-£25.00,Pre-NtO Discount,Minshull Street,Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,6
04/04/2021 08:13,-£25.00,Pre-NtO Discount,Minshull Street,Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,6
04/04/2021 08:14,-£30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
04/04/2021 08:14,-£30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
04/04/2021 08:17,-£25.00,Pre-NtO Discount,Southmill Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,5
04/04/2021 08:19,£0.00,Pre-NtO Full Rate,Deansgate,Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,6
04/04/2021 08:20,£0.00,Pre-NtO Full Rate,Chatham Street,Piccadilly,Affixed to vehicle,Pay and Display Parking,£50.00,6
04/04/2021 08:24,£0.00,Pre-NtO Full Rate,Minshull Street,Piccadilly,Affixed to vehicle,Pay and Display Parking,£50.00,6
04/04/2021 08:26,-£35.00,Pre-NtO Discount,Tatton Street,Hulme,Affixed to vehicle,Restricted Area,£0.00,1
04/04/2021 08:28,-£35.00,Pre-NtO Discount,Scotland,Cheetham,Affixed to vehicle,Restricted Areas,£0.00,1
04/04/2021 08:29,-£25.00,Pre-NtO Discount,Southmill Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
04/04/2021 08:30,£0.00,Pre-NtO Full Rate,Southmill Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,6
04/04/2021 08:30,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
04/04/2021 08:35,£0.00,Pre-NtO Full Rate,Deansgate,Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,6
04/04/2021 08:45,-£35.00,Pre-NtO Discount,Commercial Street,Deansgate,Affixed to vehicle,No Waiting,£0.00,1
04/04/2021 08:48,£0.00,Pre-NtO Full Rate,Byrom Street (City Centre : ZONEA),Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,5
04/04/2021 08:54,£0.00,Pre-NtO Full Rate,Sadler Court,Hulme,Affixed to vehicle,Restricted Area,£70.00,12
04/04/2021 08:54,-£70.00,Pre-NtO Discount,Sadler Court,Hulme,Affixed to vehicle,Restricted Area,£0.00,12
04/04/2021 09:02,£0.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£60.00,34
04/04/2021 09:02,£0.00,Pre-NtO Full Rate,City Road East,Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,6
04/04/2021 09:03,-£25.00,Pre-NtO Discount,City Road East,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
04/04/2021 09:04,£0.00,Pre-NtO Full Rate,CHINA TOWN CAR PARK,(None),Affixed to vehicle,Car Park,£50.00,73
04/04/2021 09:09,£0.00,Pre-NtO Full Rate,Chester Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,6
04/04/2021 09:10,-£25.00,Pre-NtO Discount,Harter Street,Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,6
04/04/2021 09:13,-£30.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£0.00,34
04/04/2021 09:14,-£25.00,Pre-NtO Discount,Slate Wharf,Deansgate,Affixed to vehicle,Pay And Display,£0.00,6
04/04/2021 09:17,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
04/04/2021 09:17,-£25.00,Pre-NtO Discount,City Road East,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
04/04/2021 09:21,-£25.00,Pre-NtO Discount,Hulme Street,Hulme,Affixed to vehicle,Restricted Area,£0.00,6
04/04/2021 09:24,£0.00,Pre-NtO Discount,Bombay Street,Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,6
04/04/2021 09:29,£0.00,Pre-NtO Full Rate,Danforth Grove,Levenshulme,Affixed to vehicle,No Waiting At Any Time,£35.00,1
04/04/2021 09:34,-£35.00,Pre-NtO Discount,Oldham Road (Anc&Bes),Anc & Besw,Affixed to vehicle,Restricted Area,£0.00,1
04/04/2021 09:38,-£25.00,Pre-NtO Discount,Liverpool Road,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
04/04/2021 09:39,-£25.00,Pre-NtO Discount,Princess Street (Piccadilly : ZONEC),Piccadilly,Affixed to vehicle,Restricted Area,£0.00,6
04/04/2021 09:40,-£25.00,Pre-NtO Discount,Liverpool Road,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
04/04/2021 09:43,-£25.00,Pre-NtO Discount,Liverpool Road,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
04/04/2021 09:45,-£50.00,Pre-NtO Full Rate,Whitworth Street West (City Centre : ZONEB),Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,5
04/04/2021 09:50,-£35.00,Pre-NtO Discount,Clitheroe Road,Longsight,Affixed to vehicle,No Waiting At Any Time,£0.00,27
04/04/2021 09:50,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
04/04/2021 09:50,£0.00,Pre-NtO Full Rate,Hanover Street (City Centre),Piccadilly,Affixed to vehicle,Pay and Display Parking,£50.00,6
04/04/2021 09:52,-£30.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£0.00,34
04/04/2021 09:53,£0.00,Pre-NtO Full Rate,Dewey Street,Clayt & Open,Affixed to vehicle,No Waiting At Any Time,£70.00,26
04/04/2021 10:02,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
04/04/2021 10:03,£0.00,Pre-NtO Full Rate,Museum Street,City Centre,Affixed to vehicle,Pay and Display Parking,£50.00,6
04/04/2021 10:05,£0.00,Pre-NtO Full Rate,Mayes Street (City Centre : ZONEA),Piccadilly,Affixed to vehicle,Pay and Display Parking,£50.00,6
04/04/2021 10:07,£0.00,Pre-NtO Full Rate,Mayes Street (City Centre : ZONEA),Piccadilly,Affixed to vehicle,Pay and Display Parking,£50.00,6
04/04/2021 10:13,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
04/04/2021 10:21,-£25.00,Pre-NtO Discount,St Margaret`s Car Park,(None),Affixed to vehicle,Car Park,£0.00,83
04/04/2021 10:24,-£25.00,Pre-NtO Discount,Golf Car Park,(None),Affixed to vehicle,Car Park,£0.00,86
04/04/2021 10:25,-£25.00,Pre-NtO Discount,Mayes Street (City Centre : ZONEA),Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,6
04/04/2021 10:30,£0.00,Pre-NtO Full Rate,Golf Car Park,(None),Affixed to vehicle,Car Park,£50.00,86
04/04/2021 10:33,-£50.00,Pre-NtO Full Rate,Newton Street (City Centre),Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,5
04/04/2021 10:34,-£30.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£0.00,34
04/04/2021 10:35,-£25.00,Pre-NtO Discount,George Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
04/04/2021 10:38,£0.00,Pre-NtO Full Rate,Thomas Street (City Centre),Piccadilly,Affixed to vehicle,Pay and Display Parking,£50.00,6
04/04/2021 10:38,-£30.00,Post NtO,Oxford Road (Hathersage Road To Denmark Road),Rusholme,CCTV Issue,Bus Lane,£0.00,34
04/04/2021 10:40,£0.00,Pre-NtO Full Rate,Garden Centre Car Park,(None),Affixed to vehicle,Car Park,£50.00,83
04/04/2021 10:44,-£25.00,Pre-NtO Discount,Garden Centre Car Park,(None),Affixed to vehicle,Car Park,£0.00,83
04/04/2021 10:46,-£25.00,Pre-NtO Discount,Garden Centre Car Park,(None),Affixed to vehicle,Car Park,£0.00,83
04/04/2021 10:49,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
04/04/2021 10:50,£0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£60.00,34
04/04/2021 10:52,£0.00,Pre-NtO Full Rate,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
04/04/2021 10:54,-£30.00,Post NtO,Rochdale Road (Lathbury Road to Queens Road),MP&NH,CCTV Issue,Restricted Area,£0.00,34
04/04/2021 10:54,£0.00,Pre-NtO Full Rate,Hilton Street (City Centre : ZONEA),Piccadilly,Affixed to vehicle,Pay and Display Parking,£50.00,6
04/04/2021 10:54,-£30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
04/04/2021 10:55,-£30.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£0.00,34
04/04/2021 10:55,£25.00,Cancelled,Golf Car Park,(None),Affixed to vehicle,Car Park,£25.00,83
04/04/2021 10:56,-£50.00,Pre-NtO Full Rate,Birchin Lane,Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,6
04/04/2021 10:58,-£25.00,Pre-NtO Discount,Port Street (City Centre),Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,6
04/04/2021 10:58,-£25.00,Pre-NtO Discount,Golf Car Park,(None),Affixed to vehicle,Car Park,£0.00,86
04/04/2021 11:02,-£30.00,Post NtO,Oxford Road (Hathersage Road To Denmark Road),Rusholme,CCTV Issue,Bus Lane,£0.00,34
04/04/2021 11:03,-£25.00,Pre-NtO Discount,Golf Car Park,(None),Affixed to vehicle,Car Park,£0.00,86
04/04/2021 11:07,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
04/04/2021 11:15,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
04/04/2021 11:17,-£35.00,Pre-NtO Discount,NORTHENDEN PARADE,Northenden,Affixed to vehicle,Disabled Persons Parking Place,£0.00,40
04/04/2021 11:18,-£60.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,-£30.00,34
04/04/2021 11:18,-£30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
04/04/2021 11:18,-£25.00,Pre-NtO Discount,Store Street (City Centre),Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,6
04/04/2021 11:22,-£25.00,Pre-NtO Discount,Portland Street (Piccadilly),Piccadilly,Affixed to vehicle,Restricted Area,£0.00,6
04/04/2021 11:25,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
04/04/2021 11:27,£35.00,Cancelled,Keswick Close,Ardwick,Spoil,Restricted Area,£35.00,1
04/04/2021 11:28,-£30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
04/04/2021 11:32,-£25.00,Pre-NtO Discount,Chapeltown Street,Piccadilly,Affixed to vehicle,Restricted Area,£0.00,6
04/04/2021 11:34,£0.00,Pre-NtO Full Rate,Longley Lane (Sharston),Sharston,Affixed to vehicle,No Waiting At Any Time,£35.00,1
04/04/2021 11:34,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
04/04/2021 11:35,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
04/04/2021 11:35,-£35.00,Post NtO,Wilmslow Road (DidsburyEast),DidsburyEast,Postal-vehicle drive away,No Loading at Any Time,£0.00,2
