Issued,Paid,Status,Location,Ward,Ticket Destination,Zone Name,Outstanding,Offence
20/04/2020 17:28,-£35.00,Pre-NtO Discount,Stenner Lane (DidsburyEast),DidsburyEast,Affixed to vehicle,No Waiting At Any Time,£0.00,1
20/04/2020 17:57,-£35.00,Pre-NtO Discount,Parsonage Road,Withington,Affixed to vehicle,No Waiting,£0.00,1
21/04/2020 08:21,-£35.00,Pre-NtO Discount,George Leigh Street,Anc & Besw,Affixed to vehicle,No Waiting,£0.00,1
21/04/2020 08:22,-£35.00,Pre-NtO Discount,Rosamond Street West,Hulme,Affixed to vehicle,Disabled Bay,£0.00,40
21/04/2020 08:23,-£35.00,Pre-NtO Discount,Rosamond Street West,Hulme,Affixed to vehicle,Disabled Bay,£0.00,40
21/04/2020 08:30,-£35.00,Pre-NtO Discount,Rosamond Street West,Hulme,Affixed to vehicle,Gv Loading Bay,£0.00,23
21/04/2020 08:34,-£35.00,Pre-NtO Discount,Gould Street,Piccadilly,Affixed to vehicle,Restricted Area,£0.00,1
21/04/2020 08:38,-£35.00,Pre-NtO Discount,Marshall Street,Piccadilly,Affixed to vehicle,No Waiting,£0.00,1
21/04/2020 08:43,-£35.00,Pre-NtO Discount,Epping Street,Hulme,Affixed to vehicle,Residents Parking,£0.00,12
21/04/2020 08:47,-£35.00,Pre-NtO Discount,Naples Street,Piccadilly,Affixed to vehicle,Restricted Parking,£0.00,1
21/04/2020 08:47,-£35.00,Pre-NtO Discount,Naples Street,Piccadilly,Affixed to vehicle,Restricted Parking,£0.00,1
21/04/2020 08:54,£0.00,Post CC,Simpson Street,Piccadilly,Affixed to vehicle,Restricted Parking,£105.00,1
21/04/2020 08:57,-£35.00,Pre-NtO Discount,Water Street (Hulme),Hulme,Affixed to vehicle,No Waiting At Any Time,£0.00,1
21/04/2020 08:59,£0.00,Post CC,Water Street (Hulme),Hulme,Affixed to vehicle,No Waiting At Any Time,£105.00,1
21/04/2020 08:59,-£35.00,Pre-NtO Discount,Water Street (Hulme),Hulme,Affixed to vehicle,No Waiting At Any Time,£0.00,1
21/04/2020 09:00,-£35.00,Pre-NtO Discount,Scotland,Cheetham,Affixed to vehicle,Restricted Areas,£0.00,1
21/04/2020 09:27,-£35.00,Post NtO,Stockport Road (Longsight),Longsight,Postal-vehicle drive away,No Loading,£0.00,2
21/04/2020 09:28,-£35.00,Pre-NtO Discount,East Road,Longsight,Affixed to vehicle,Restricted Area,£0.00,1
21/04/2020 09:40,-£35.00,Pre-NtO Discount,Broom Lane,Levenshulme,Affixed to vehicle,Restricted Area,£0.00,1
21/04/2020 09:53,-£35.00,Pre-NtO Discount,Broom Lane,Levenshulme,Affixed to vehicle,Restricted Area,£0.00,1
21/04/2020 11:41,-£70.00,Post NtO,Lower Ormond Street (Hulme),Hulme,Affixed to vehicle,No Waiting,£0.00,1
21/04/2020 11:42,-£35.00,Pre-NtO Discount,New Bridge Street,Deansgate,Affixed to vehicle,No Waiting,£0.00,1
21/04/2020 11:55,-£35.00,Pre-NtO Discount,Booth Street West,Hulme,Affixed to vehicle,Disabled Persons Parking Place,£0.00,40
21/04/2020 11:55,-£35.00,Pre-NtO Discount,Lower Chatham Street (Hulme),Hulme,Affixed to vehicle,No Waiting At Any Time,£0.00,27
21/04/2020 12:02,-£35.00,Pre-NtO Discount,Lower Chatham Street (Hulme),Hulme,Affixed to vehicle,No Waiting At Any Time,£0.00,1
21/04/2020 12:36,-£35.00,Pre-NtO Discount,Scotland,Cheetham,Affixed to vehicle,Restricted Areas,£0.00,1
21/04/2020 13:21,-£70.00,Post NtO,Wilmslow Road (Rusholme),Rusholme,Affixed to vehicle,Disabled Persons Parking Place,£0.00,40
21/04/2020 13:21,-£35.00,Pre-NtO Discount,Mancunian Way (Piccadilly),Piccadilly,Affixed to vehicle,Restricted Area,£0.00,1
21/04/2020 13:25,-£35.00,Pre-NtO Discount,Mancunian Way (Piccadilly),Piccadilly,Affixed to vehicle,Restricted Area,£0.00,1
21/04/2020 13:40,-£35.00,Pre-NtO Discount,Mancunian Way (Piccadilly),Piccadilly,Affixed to vehicle,Restricted Area,£0.00,1
21/04/2020 13:47,£0.00,Pre-NtO Full Rate,Oldham Street (City Centre),Piccadilly,Affixed to vehicle,No Loading at Any Time,£70.00,2
21/04/2020 13:48,-£35.00,Pre-NtO Discount,Oldham Street (City Centre),Piccadilly,Affixed to vehicle,No Waiting At Any Time,£0.00,1
21/04/2020 13:53,-£70.00,Pre-NtO Full Rate,Stockport Road (Longsight),Longsight,Affixed to vehicle,No Waiting At Any Time,£0.00,1
21/04/2020 14:08,-£35.00,Pre-NtO Discount,Whitworth Street (Piccadilly : ZONEB),Piccadilly,Affixed to vehicle,Restricted Area,£0.00,2
21/04/2020 14:14,-£35.00,Pre-NtO Discount,Grosvenor Street,Ardwick,Affixed to vehicle,GV Loading Bay,£0.00,25
21/04/2020 14:44,-£35.00,Pre-NtO Discount,Oxney Road,Rusholme,Affixed to vehicle,No Waiting At Any Time,£0.00,1
21/04/2020 14:56,£0.00,Pre-NtO Full Rate,Rainforth Street,Longsight,Affixed to vehicle,Taxi Stand,£70.00,45
21/04/2020 17:00,£0.00,Cancelled,Tatton Grove,Withington,Affixed to vehicle,Parking Place,£0.00,12
21/04/2020 17:11,-£35.00,Pre-NtO Discount,Palatine Road (Withington),Withington,Affixed to vehicle,Restricted Area,£0.00,99
21/04/2020 17:19,-£35.00,Pre-NtO Discount,Hyde Road (Gorton & Abbey Hey),Gort & Abb H,Affixed to vehicle,Restricted Area,£0.00,1
22/04/2020 09:06,-£35.00,Pre-NtO Discount,Lord Street,Cheetham,Affixed to vehicle,No Waiting At Any Time,£0.00,1
