Issued,Paid,Status,Location,Ward,Ticket Destination,Restriction,Outstanding,Contravention
21/05/2021 17:54,£0.00,Post NtO,Portland Street (South-West Bound),Central,Postal (from Cctv Review Client),Bus Lane,£30.00,34
21/05/2021 17:54,-£35.00,Pre-NtO Discount,SNELL STREET,(None),Affixed to vehicle,No Waiting,£0.00,1
21/05/2021 17:56,£0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,Postal (from Cctv Review Client),Bus Lane,£30.00,34
21/05/2021 17:58,£0.00,Post NtO,Portland Street (South-West Bound),Central,Postal (from Cctv Review Client),Bus Lane,£30.00,34
21/05/2021 17:58,£0.00,Pre-NtO Discount,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£25.00,73
21/05/2021 17:59,-£35.00,Pre-NtO Discount,Newton Street (City Centre),Piccadilly,Affixed to vehicle,GV Loading Bay,£0.00,23
21/05/2021 18:00,£0.00,Post NtO,Bury New Road (Appian Way to Waterloo Road),Cheetham,Postal (from Cctv Review Client),Bus Lane,£30.00,34
21/05/2021 18:01,£0.00,Post NtO,Portland Street (South-West Bound),Central,Postal (from Cctv Review Client),Bus Lane,£30.00,34
21/05/2021 18:02,£0.00,Pre-NtO Discount,Oxford Road (Charles Street To Brancaster Road),City Centre,Postal (from Cctv Review Client),Bus Lane,£0.00,34
21/05/2021 18:03,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,Postal (from Cctv Review Client),Bus Lane,£0.00,34
21/05/2021 18:03,-£30.00,Post NtO,Portland Street (North-East Bound),City Centre,Postal (from Cctv Review Client),Bus Lane,£0.00,34
21/05/2021 18:05,-£30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,Postal (from Cctv Review Client),Bus Lane,£0.00,34
21/05/2021 18:05,£0.00,Post NtO,Portland Street (North-East Bound),City Centre,Postal (from Cctv Review Client),Bus Lane,£30.00,34
21/05/2021 18:07,£0.00,Pre-NtO Discount,St John Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£25.00,6
21/05/2021 18:08,-£25.00,Pre-NtO Discount,HULME STREET CAR PARK,Deansgate,Affixed to vehicle,Car Park,£0.00,73
21/05/2021 18:08,£0.00,Pre-NtO Discount,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,Postal (from Cctv Review Client),Bus Lane,£0.00,34
21/05/2021 18:08,£0.00,Pre-NtO Discount,Oxford Road (Charles Street To Brancaster Road),City Centre,Postal (from Cctv Review Client),Bus Lane,£0.00,34
21/05/2021 18:08,£0.00,Pre-NtO Discount,Fountain Street (City Centre : ZONEC),Deansgate,Affixed to vehicle,Pay and Display Parking,£25.00,6
21/05/2021 18:10,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,Postal (from Cctv Review Client),Bus Lane,£0.00,34
21/05/2021 18:10,-£35.00,Pre-NtO Discount,Houldsworth Street (City Centre),Piccadilly,Affixed to vehicle,No Waiting,£0.00,1
21/05/2021 18:10,£0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,Postal (from Cctv Review Client),Bus Lane,£30.00,34
21/05/2021 18:12,£0.00,Post NtO,Portland Street (South-West Bound),Central,Postal (from Cctv Review Client),Bus Lane,£30.00,34
21/05/2021 18:13,-£25.00,Pre-NtO Discount,Deansgate,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,5
21/05/2021 18:14,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,Postal (from Cctv Review Client),Bus Lane,£0.00,34
21/05/2021 18:15,£0.00,Pre-NtO Discount,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£25.00,73
21/05/2021 18:18,£0.00,Pre-NtO Discount,Deansgate,Deansgate,Affixed to vehicle,No Waiting At Any Time,£35.00,1
21/05/2021 18:18,£0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,Postal (from Cctv Review Client),Bus Lane,£30.00,34
21/05/2021 18:19,£0.00,Pre-NtO Discount,Spring Gardens,Deansgate,Affixed to vehicle,Pay and Display Parking,£25.00,6
21/05/2021 18:20,£0.00,Pre-NtO Discount,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£25.00,73
21/05/2021 18:20,-£25.00,Pre-NtO Discount,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
21/05/2021 18:20,£0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,Postal (from Cctv Review Client),Bus Lane,£30.00,34
21/05/2021 18:20,£0.00,Post NtO,Cheetham Hill Road (Penrose Close to Queens Road),Cheetham,Postal (from Cctv Review Client),Bus Lane,£30.00,34
21/05/2021 18:21,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,Postal (from Cctv Review Client),Bus Lane,£0.00,34
21/05/2021 18:21,£0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,Postal (from Cctv Review Client),Bus Lane,£30.00,34
21/05/2021 18:21,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,Postal (from Cctv Review Client),Bus Lane,£0.00,34
21/05/2021 18:21,£0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,Postal (from Cctv Review Client),Bus Lane,£30.00,34
21/05/2021 18:21,-£35.00,Pre-NtO Discount,King Street,Deansgate,Affixed to vehicle,Disabled Persons Parking Place,£0.00,40
21/05/2021 18:22,£0.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,Postal (from Cctv Review Client),Bus Lane,£30.00,34
21/05/2021 18:22,£0.00,Pre-NtO Discount,Brewer Street (City Centre),Piccadilly,Affixed to vehicle,Pay and Display Parking,£25.00,6
21/05/2021 18:23,£0.00,Post NtO,Wilmslow Road (Lorne Road to Wynnstay Grove),Rusholme,Postal (from Cctv Review Client),Bus Lane,£30.00,34
21/05/2021 18:23,-£25.00,Pre-NtO Discount,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
21/05/2021 18:24,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,Postal (from Cctv Review Client),Bus Lane,£0.00,34
21/05/2021 18:25,-£30.00,Post NtO,Portland Street (North-East Bound),City Centre,Postal (from Cctv Review Client),Bus Lane,£0.00,34
21/05/2021 18:27,£0.00,Pre-NtO Discount,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£25.00,73
21/05/2021 18:27,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,Postal (from Cctv Review Client),Bus Lane,£0.00,34
21/05/2021 18:27,£0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,Postal (from Cctv Review Client),Bus Lane,£30.00,34
21/05/2021 18:28,£0.00,Pre-NtO Discount,City Road East,Deansgate,Affixed to vehicle,Pay and Display Parking,£25.00,6
21/05/2021 18:30,£0.00,Pre-NtO Discount,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£25.00,73
21/05/2021 18:31,£25.00,Cancelled,City Road East,Deansgate,Affixed to vehicle,Pay and Display Parking,£25.00,6
