Issued,Paid,Status,Location,Ward,Ticket Destination,Zone Name,Outstanding,Offence
01/12/2020  08:37,œ0.00,Pre-NtO Full Rate,Ducie Street (City Centre : ZONEC),Piccadilly,Affixed to vehicle,Pay and Display Parking,œ50.00,6
01/12/2020  08:37,-œ25.00,Pre-NtO Discount,Jersey Street,Anc & Besw,Affixed to vehicle,Pay and Display Parking,œ0.00,6
01/12/2020  08:38,-œ35.00,Post NtO,Eaton Road,Crumpsall,CCTV Issue,School Entrance Marking,œ0.00,48
01/12/2020  08:38,œ0.00,Post NtO,Wilbraham Road (WhalleyRange),WhalleyRange,Postal-vehicle drive away,School Entrance Marking,œ70.00,48
01/12/2020  08:38,œ0.00,Pre-NtO Full Rate,Wilbraham Road (WhalleyRange),WhalleyRange,Posted,School Entrance Marking,œ70.00,48
01/12/2020  08:43,œ0.00,Pre-NtO Full Rate,Wilbraham Road (WhalleyRange),WhalleyRange,Posted,No Loading,œ70.00,2
01/12/2020  08:44,-œ25.00,Pre-NtO Discount,Southmill Street,Deansgate,Affixed to vehicle,Pay and Display Parking,œ0.00,6
01/12/2020  08:46,œ0.00,Post NtO,Eaton Road,Crumpsall,CCTV Issue,School Entrance Marking,œ35.00,48
01/12/2020  08:47,-œ25.00,Pre-NtO Discount,STONE STREET CAR PARK,Deansgate,Affixed to vehicle,Car Park,œ0.00,82
01/12/2020  08:48,-œ35.00,Pre-NtO Discount,Catterick Road,DidsburyEast,Affixed to vehicle,No Waiting At Any Time,œ0.00,1
01/12/2020  08:51,-œ25.00,Pre-NtO Discount,Deansgate,Deansgate,Affixed to vehicle,Pay and Display Parking,œ0.00,6
01/12/2020  08:51,-œ35.00,Pre-NtO Discount,KINGSWAY ROAD,Withington,Affixed to vehicle,Restricted Area,œ0.00,1
01/12/2020  08:52,-œ35.00,Post NtO,Redhill Street,Anc & Besw,Postal-vehicle drive away,Restricted Area,œ0.00,2
01/12/2020  08:55,-œ35.00,Post NtO,Eaton Road,Crumpsall,CCTV Issue,School Entrance Marking,œ0.00,48
01/12/2020  08:56,-œ30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,œ0.00,34
01/12/2020  08:57,-œ25.00,Pre-NtO Discount,Deansgate,Deansgate,Affixed to vehicle,Pay and Display Parking,œ0.00,6
01/12/2020  08:58,-œ35.00,Pre-NtO Discount,Beaver Road,DidsburyEast,Affixed to vehicle,No Waiting,œ0.00,1
01/12/2020  08:58,-œ30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,œ0.00,34
01/12/2020  08:59,-œ30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,œ0.00,34
01/12/2020  09:00,-œ30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,œ0.00,34
01/12/2020  09:00,-œ30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,œ0.00,34
01/12/2020  09:01,-œ50.00,Pre-NtO Full Rate,Jackson`s Row,Deansgate,Affixed to vehicle,Pay and Display Parking,œ0.00,6
01/12/2020  09:01,-œ25.00,Pre-NtO Discount,Fountain Street (City Centre : ZONEA),Deansgate,Affixed to vehicle,Pay and Display Parking,œ0.00,6
01/12/2020  09:02,-œ35.00,Post NtO,Waterloo Road,Cheetham,Postal-vehicle drive away,School Entrance Marking,œ0.00,48
01/12/2020  09:03,œ0.00,Pre-NtO Full Rate,deansgate,Deansgate,Affixed to vehicle,Pay and Display Parking,œ50.00,6
01/12/2020  09:03,œ0.00,Post NtO,Rochdale Road (Lathbury Road to Queens Road),MP&NH,CCTV Issue,Restricted Area,œ60.00,34
01/12/2020  09:05,-œ30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,œ0.00,34
01/12/2020  09:09,-œ30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,œ0.00,34
01/12/2020  09:10,-œ30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,œ0.00,34
01/12/2020  09:11,-œ25.00,Pre-NtO Discount,Spring Gardens,Deansgate,Affixed to vehicle,Pay and Display Parking,œ0.00,6
01/12/2020  09:11,-œ25.00,Pre-NtO Discount,Bridgewater Street,Deansgate,Affixed to vehicle,Pay and Display Parking,œ0.00,6
01/12/2020  09:12,-œ25.00,Pre-NtO Discount,Slate Wharf,Deansgate,Affixed to vehicle,Pay And Display,œ0.00,6
01/12/2020  09:13,œ0.00,Pre-NtO Full Rate,Albany Road,Chorlton,Affixed to vehicle,No Waiting,œ70.00,1
01/12/2020  09:13,-œ30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,œ0.00,34
01/12/2020  09:14,œ0.00,Pre-NtO Full Rate,Deansgate,Deansgate,Affixed to vehicle,Pay and Display Parking,œ50.00,6
01/12/2020  09:14,-œ35.00,Post NtO,Eaton Road,Crumpsall,CCTV Issue,School Entrance Marking,œ0.00,48
01/12/2020  09:15,-œ30.00,Post NtO,Oxford Road (Hathersage Road To Denmark Road),Rusholme,CCTV Issue,Bus Lane,œ0.00,34
01/12/2020  09:15,œ0.00,Pre-NtO Full Rate,Stockport Road (Longsight),Longsight,Affixed to vehicle,No Loading,œ70.00,2
01/12/2020  09:17,œ0.00,Cancelled,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,œ0.00,34
