Issued,Paid,Status,Location,Ward,Ticket Destination,Zone Name,Outstanding,Offence
01/10/2020  08:36,-£30.00,Post NtO,Oldham Road (Lowcross Road to Ten Acres Lane),Newton Heath,CCTV Issue,Bus Lane,£0.00,34
01/10/2020  08:36,£0.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£60.00,34
01/10/2020  08:36,£0.00,Post NtO,Chepstow Street Car Park,Deansgate,Affixed to vehicle,Car Park,£50.00,83
01/10/2020  08:37,-£35.00,Post NtO,Lytham Road,Rusholme,CCTV Issue,School Entrance Markings T6A,£0.00,48
01/10/2020  08:37,-£25.00,Pre-NtO Discount,Great John Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
01/10/2020  08:38,-£25.00,Pre-NtO Discount,Fountain Street (City Centre : ZONEA),Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
01/10/2020  08:38,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/10/2020  08:42,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/10/2020  08:43,£0.00,Pre-NtO Full Rate,Broadoak Lane,DidsburyEast,Affixed to vehicle,No Waiting,£70.00,1
01/10/2020  08:46,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/10/2020  08:46,£0.00,Post NtO,Houldsworth Street (City Centre),Piccadilly,Affixed to vehicle,Pay and Display Parking,£50.00,6
01/10/2020  08:46,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
01/10/2020  08:50,£0.00,Cancelled,Park Street (Car Park),Cheetham,Affixed to vehicle,Car Park,£0.00,83
01/10/2020  08:51,-£25.00,Pre-NtO Discount,Spring Gardens,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
01/10/2020  08:51,-£30.00,Post NtO,Wilbraham Road (South of Barlow Moor Road),Chorlton,CCTV Issue,Bus Lane,£0.00,34
01/10/2020  08:51,£0.00,Post NtO,Crossacres Road,Sharston,Affixed to vehicle,No Loading,£70.00,2
01/10/2020  08:52,-£35.00,Post NtO,Lytham Road,Rusholme,CCTV Issue,School Entrance Markings T6A,£0.00,48
01/10/2020  08:53,£0.00,Post CC,Rochdale Road (Lathbury Road to Queens Road),MP&NH,CCTV Issue,Restricted Area,£90.00,34
01/10/2020  08:56,-£35.00,Pre-NtO Discount,Stockport Road (Longsight),Longsight,Handed To Driver,No Loading,£0.00,2
01/10/2020  08:56,£0.00,Post NtO,Whitworth Street West (City Centre : ZONEB),Deansgate,Affixed to vehicle,No Loading,£70.00,2
01/10/2020  08:57,-£25.00,Pre-NtO Discount,Lower Ormond Street (City Centre),Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,5
