Issued,Paid,Status,Location,Ward,Ticket Destination,Zone Name,Outstanding,Contravention,Contravention Description
05/03/2020  08:46: ,-£35.00,Pre-NtO Discount,Grangethorpe Road,Fallowfield,Affixed to vehicle,No Waiting,£0.00,1,Parked in a restricted street during prescribed hours 
05/03/2020  08:47: ,£0.00,Pre-NtO Full Rate,Bombay Street,Piccadilly,Affixed to vehicle,Pay and Display Parking,£50.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
05/03/2020  08:49: ,-£35.00,Pre-NtO Discount,Ellesmere Street,Hulme,Affixed to vehicle,No Waiting At Any Time,£0.00,1,Parked in a restricted street during prescribed hours 
05/03/2020  08:49: ,£0.00,Pre-NtO Full Rate,Radium Street,Anc & Besw,Affixed to vehicle,No Waiting,£70.00,1,Parked in a restricted street during prescribed hours 
05/03/2020  08:49: ,-£35.00,Post NtO,Haredale Drive,Cheetham,CCTV Issue,School Entrance Marking,£0.00,48,Stopped in a restricted area outside a school 
05/03/2020  08:51: ,-£35.00,Post NtO,Haredale Drive,Cheetham,CCTV Issue,School Entrance Marking,£0.00,48,Stopped in a restricted area outside a school 
05/03/2020  08:51: ,-£35.00,Post NtO,Haredale Drive,Cheetham,CCTV Issue,School Entrance Marking,£0.00,48,Stopped in a restricted area outside a school 
05/03/2020  08:52: ,£0.00,Pre-NtO Full Rate,Ellesmere Street,Hulme,Affixed to vehicle,No Waiting At Any Time,£35.00,1,Parked in a restricted street during prescribed hours 
05/03/2020  08:53: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  08:54: ,-£140.00,Pre-NtO Discount,Bonsall Street,Hulme,Affixed to vehicle,Pedestrian Crossing,£0.00,99,Stopped on a pedestrian crossing and/or crossing area marked by zig-zags  
05/03/2020  08:54: ,-£25.00,Pre-NtO Discount,Princess Street (Piccadilly : ZONEB),Piccadilly,Affixed to vehicle,Restricted Area,£0.00,5,Parked after the expiry of paid for time  
05/03/2020  08:54: ,£0.00,Pre-NtO Full Rate,King Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
05/03/2020  08:56: ,-£35.00,Pre-NtO Discount,George Leigh Street,Anc & Besw,Affixed to vehicle,No Waiting,£0.00,1,Parked in a restricted street during prescribed hours 
05/03/2020  08:56: ,-£35.00,Post NtO,Lincoln Grove,Ardwick,Postal-vehicle drive away,School Entrance Marking,£0.00,99,Stopped on a pedestrian crossing and/or crossing area marked by zig-zags  
05/03/2020  08:57: ,£0.00,Pre-NtO Full Rate,Grangethorpe Road,Fallowfield,Affixed to vehicle,School Entrance Marking,£70.00,48,Stopped in a restricted area outside a school 
05/03/2020  08:57: ,£0.00,Post NtO,Haredale Drive,Cheetham,CCTV Issue,School Entrance Marking,£35.00,48,Stopped in a restricted area outside a school 
05/03/2020  08:58: ,-£35.00,Pre-NtO Discount,Circular Road,DidsburyWest,Affixed to vehicle,Parking Place,£0.00,12,Parked in a residents' or shared use parking place without clearly displaying either a permit or voucher or pay and display ticket issued for that place 
05/03/2020  08:59: ,£0.00,Cancelled,Great Jackson Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
05/03/2020  09:01: ,-£35.00,Pre-NtO Discount,Aberdeen Street,Ardwick,Affixed to vehicle,No Waiting,£0.00,1,Parked in a restricted street during prescribed hours 
05/03/2020  09:01: ,£0.00,Post NtO,Cheetham Hill Road (Penrose Close to Queens Road),Cheetham,CCTV Issue,Bus Lane,£60.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  09:02: ,£0.00,Pre-NtO Full Rate,King Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
05/03/2020  09:02: ,-£35.00,Pre-NtO Discount,Aberdeen Street,Ardwick,Affixed to vehicle,No Waiting,£0.00,1,Parked in a restricted street during prescribed hours 
05/03/2020  09:04: ,£0.00,Pre-NtO Full Rate,Kennedy Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
05/03/2020  09:05: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  09:05: ,£0.00,Pre-NtO Full Rate,Great Jackson Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
05/03/2020  09:05: ,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  09:07: ,-£35.00,Pre-NtO Full Rate,Upper Medlock Street,Hulme,Affixed to vehicle,Residents Parking,£0.00,12,Parked in a residents' or shared use parking place without clearly displaying either a permit or voucher or pay and display ticket issued for that place 
05/03/2020  09:09: ,-£35.00,Pre-NtO Discount,Lincoln Grove,Ardwick,Affixed to vehicle,No Waiting,£0.00,1,Parked in a restricted street during prescribed hours 
05/03/2020  09:10: ,£0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£60.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  09:13: ,£0.00,Pre-NtO Full Rate,Marsden Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
05/03/2020  09:15: ,-£35.00,Pre-NtO Discount,Hardman Street,Deansgate,Affixed to vehicle,Taxi Clearway,£0.00,45,Parked on a taxi rank  
05/03/2020  09:16: ,£0.00,Pre-NtO Full Rate,Delaunays Road (Crumpsall),Crumpsall,Affixed to vehicle,Restricted Area,£70.00,12,Parked in a residents' or shared use parking place without clearly displaying either a permit or voucher or pay and display ticket issued for that place 
05/03/2020  09:16: ,£0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£60.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  09:17: ,-£35.00,Pre-NtO Discount,Weld Road,Withington,Affixed to vehicle,Restricted Area,£0.00,1,Parked in a restricted street during prescribed hours 
05/03/2020  09:18: ,-£35.00,Post NtO,Wilmslow Road (Withington),Withington,Postal-vehicle drive away,No Loading at Any Time,£0.00,2,Parked or loading/unloading in a restricted street where waiting and loading/unloading restrictions are in force 
05/03/2020  09:18: ,£0.00,Pre-NtO Full Rate,Corn Close,Ardwick,Affixed to vehicle,Pay and Display Parking,£50.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
05/03/2020  09:18: ,£0.00,Pre-NtO Full Rate,Southmill Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
05/03/2020  09:20: ,£0.00,Pre-NtO Full Rate,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  09:22: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  09:22: ,£0.00,Pre-NtO Full Rate,Spring Gardens,Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
05/03/2020  09:22: ,£0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£30.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  09:23: ,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  09:24: ,£0.00,Pre-NtO Full Rate,City Road East,Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
05/03/2020  09:25: ,-£30.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  09:25: ,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  09:26: ,-£35.00,Pre-NtO Discount,Wood Street (City Centre),Deansgate,Affixed to vehicle,No Waiting At Any Time,£0.00,1,Parked in a restricted street during prescribed hours 
05/03/2020  09:28: ,-£35.00,Pre-NtO Discount,Rainforth Street,Longsight,Affixed to vehicle,Taxi Stand,£0.00,45,Parked on a taxi rank  
05/03/2020  09:29: ,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  09:29: ,-£35.00,Pre-NtO Discount,School Lane (DidsburyEast),DidsburyEast,Affixed to vehicle,No Waiting,£0.00,1,Parked in a restricted street during prescribed hours 
05/03/2020  09:29: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  09:29: ,£0.00,Pre-NtO Full Rate,Hathersage Road,Ardwick,Affixed to vehicle,No Waiting,£70.00,1,Parked in a restricted street during prescribed hours 
05/03/2020  09:29: ,-£35.00,Pre-NtO Discount,Wood Street (City Centre),Deansgate,Affixed to vehicle,No Waiting At Any Time,£0.00,1,Parked in a restricted street during prescribed hours 
05/03/2020  09:30: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  09:31: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  09:31: ,£0.00,Pre-NtO Full Rate,Wood Street (City Centre),Deansgate,Affixed to vehicle,No Waiting At Any Time,£70.00,1,Parked in a restricted street during prescribed hours 
05/03/2020  09:33: ,-£30.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  09:33: ,£0.00,Post NtO,Cheetham Hill Road (Penrose Close to Queens Road),Cheetham,CCTV Issue,Bus Lane,£30.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  09:34: ,-£25.00,Pre-NtO Discount,Old Mill Street,Anc & Besw,Affixed to vehicle,Restricted Area,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
05/03/2020  09:35: ,£0.00,Cancelled,Aquarius Street,Hulme,Affixed to vehicle,Pay And Display,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
05/03/2020  09:35: ,-£35.00,Post NtO,Hathersage Road,Ardwick,Postal-vehicle drive away,No Loading,£0.00,2,Parked or loading/unloading in a restricted street where waiting and loading/unloading restrictions are in force 
05/03/2020  09:37: ,-£35.00,Pre-NtO Discount,York Street (City Centre : ZONEA),Deansgate,Affixed to vehicle,No Waiting,£0.00,26,Vehicle parked more than 50 centimetres from the edge of the carriageway and not within a designated parking place. 
05/03/2020  09:38: ,-£25.00,Pre-NtO Discount,Chester Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
05/03/2020  09:39: ,-£70.00,Pre-NtO Full Rate,FRANCIS STREET,Cheetham,Affixed to vehicle,No Waiting,£0.00,1,Parked in a restricted street during prescribed hours 
05/03/2020  09:39: ,-£35.00,Pre-NtO Discount,North Western Street (Ardwick),Ardwick,Affixed to vehicle,No Waiting At Any Time,£0.00,26,Vehicle parked more than 50 centimetres from the edge of the carriageway and not within a designated parking place. 
05/03/2020  09:41: ,-£35.00,Pre-NtO Discount,Stockport Road (Longsight),Longsight,Affixed to vehicle,GV Loading Bay,£0.00,23,Parked in a parking place or area not designated for that class of vehicle 
05/03/2020  09:42: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  09:43: ,-£35.00,Pre-NtO Discount,Parrs Wood Road (DidsburyEast),DidsburyEast,Affixed to vehicle,No Waiting,£0.00,1,Parked in a restricted street during prescribed hours 
05/03/2020  09:43: ,-£30.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  09:43: ,-£25.00,Pre-NtO Discount,Chester Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
05/03/2020  09:44: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  09:44: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  09:45: ,-£25.00,Pre-NtO Discount,Jersey Street,Anc & Besw,Affixed to vehicle,Pay and Display Parking,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
05/03/2020  09:46: ,£0.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£60.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  09:47: ,£0.00,Pre-NtO Full Rate,Wilbraham Road (Chorlton),Chorlton,Affixed to vehicle,GV Loading Bay,£35.00,23,Parked in a parking place or area not designated for that class of vehicle 
05/03/2020  09:47: ,£0.00,Pre-NtO Full Rate,Red Bank,Cheetham,Affixed to vehicle,Restricted Area,£70.00,1,Parked in a restricted street during prescribed hours 
05/03/2020  09:47: ,£0.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£30.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  09:47: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  09:49: ,-£30.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  09:50: ,-£25.00,Pre-NtO Discount,Chester Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
05/03/2020  09:51: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  09:52: ,-£30.00,Post NtO,Oldham Road (Lowcross Road to Ten Acres Lane),Newton Heath,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  09:53: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  09:53: ,-£25.00,Pre-NtO Discount,Chester Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
05/03/2020  09:53: ,£0.00,Pre-NtO Full Rate,Great Marlborough Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
05/03/2020  09:53: ,£0.00,Post NtO,Cheetham Hill Road (Penrose Close to Queens Road),Cheetham,CCTV Issue,Bus Lane,£30.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  09:53: ,£0.00,Pre-NtO Full Rate,Bury New Road (Appian Way to Waterloo Road),Cheetham,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  09:54: ,£0.00,Cancelled,Bury New Road (Appian Way to Waterloo Road),Cheetham,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  09:54: ,£0.00,Pre-NtO Full Rate,Higher Ardwick,Ardwick,Affixed to vehicle,No Waiting,£70.00,1,Parked in a restricted street during prescribed hours 
05/03/2020  09:56: ,-£30.00,Post NtO,Wilmslow Road (Lorne Road to Wynnstay Grove),Rusholme,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  09:56: ,-£30.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  09:57: ,-£30.00,Post NtO,Oxford Road (Hathersage Road To Denmark Road),Rusholme,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  09:59: ,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  10:01: ,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  10:01: ,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  10:03: ,-£35.00,Pre-NtO Discount,Keppel Road,Chorlton,Affixed to vehicle,No Waiting,£0.00,1,Parked in a restricted street during prescribed hours 
05/03/2020  10:03: ,£0.00,Pre-NtO Full Rate,St James Square,Piccadilly,Affixed to vehicle,Restricted Area,£50.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
05/03/2020  10:04: ,-£30.00,Post NtO,Hunts Bank (Victoria Station Approach To Walkers Croft),Central,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  10:06: ,-£35.00,Post NtO,Bury Old Road,Crumpsall,Postal-vehicle drive away,Restricted Area,£0.00,1,Parked in a restricted street during prescribed hours 
05/03/2020  10:06: ,£0.00,Pre-NtO Full Rate,St James Square,Piccadilly,Affixed to vehicle,Restricted Area,£50.00,5,Parked after the expiry of paid for time  
05/03/2020  10:07: ,£0.00,Pre-NtO Full Rate,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  10:07: ,£0.00,Pre-NtO Full Rate,Longacre Street,Piccadilly,Affixed to vehicle,Pay and Display Parking,£50.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
05/03/2020  10:07: ,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  10:08: ,-£35.00,Pre-NtO Discount,Lower Ormond Street (Hulme),Hulme,Affixed to vehicle,No Waiting,-£35.00,1,Parked in a restricted street during prescribed hours 
05/03/2020  10:09: ,£0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£60.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  10:10: ,-£35.00,Pre-NtO Discount,Oak Road,DidsburyWest,Affixed to vehicle,No Loading at Any Time,£0.00,2,Parked or loading/unloading in a restricted street where waiting and loading/unloading restrictions are in force 
05/03/2020  10:11: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  10:12: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  10:12: ,£0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£60.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  10:12: ,-£35.00,Pre-NtO Discount,Wilbraham Road (Chorlton),Chorlton,Affixed to vehicle,Bus Stop,£0.00,47,Stopped on a restricted bus stop or stand  
05/03/2020  10:13: ,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  10:20: ,£0.00,Cancelled,Firth Road,Old Moat,Affixed to vehicle,Restricted Area,£0.00,1,Parked in a restricted street during prescribed hours 
05/03/2020  10:21: ,£0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£60.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  10:21: ,£0.00,Pre-NtO Full Rate,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  10:22: ,-£30.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  10:22: ,£0.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£60.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  10:23: ,-£35.00,Pre-NtO Discount,Greek Street,Ardwick,Affixed to vehicle,Restricted Area,£0.00,1,Parked in a restricted street during prescribed hours 
05/03/2020  10:23: ,-£30.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  10:24: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  10:24: ,£0.00,Post NtO,Oxford Road (Hathersage Road To Denmark Road),Rusholme,CCTV Issue,Bus Lane,£30.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  10:24: ,-£30.00,Post NtO,Oxford Road (Hathersage Road To Denmark Road),Rusholme,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  10:24: ,£0.00,Cancelled,Firth Road,Old Moat,Affixed to vehicle,Restricted Area,£0.00,1,Parked in a restricted street during prescribed hours 
05/03/2020  10:27: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  10:29: ,£0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£60.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  10:30: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  10:30: ,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  10:34: ,£0.00,Pre-NtO Full Rate,Kincardine Road,Ardwick,Affixed to vehicle,Pay and Display Parking,£50.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
05/03/2020  10:34: ,-£35.00,Pre-NtO Discount,Cotton Street,Anc & Besw,Affixed to vehicle,No Waiting,£0.00,1,Parked in a restricted street during prescribed hours 
05/03/2020  10:36: ,£0.00,Cancelled,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  10:36: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  10:37: ,£0.00,Pre-NtO Full Rate,St Mary`s Parsonage,Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
05/03/2020  10:39: ,-£30.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  10:40: ,-£25.00,Pre-NtO Discount,Kincardine Road,Ardwick,Affixed to vehicle,Pay and Display Parking,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
05/03/2020  10:41: ,£0.00,Pre-NtO Full Rate,Hood Street,Anc & Besw,Affixed to vehicle,No Waiting,£70.00,1,Parked in a restricted street during prescribed hours 
05/03/2020  10:41: ,-£30.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  10:43: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  10:44: ,£0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£60.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  10:46: ,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  10:46: ,£0.00,Pre-NtO Full Rate,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  10:46: ,-£35.00,Pre-NtO Discount,Epping Street,Hulme,Affixed to vehicle,Residents Parking,£0.00,12,Parked in a residents' or shared use parking place without clearly displaying either a permit or voucher or pay and display ticket issued for that place 
05/03/2020  10:47: ,-£35.00,Pre-NtO Discount,Cromer Avenue,Old Moat,Affixed to vehicle,Parking Place,£0.00,12,Parked in a residents' or shared use parking place without clearly displaying either a permit or voucher or pay and display ticket issued for that place 
05/03/2020  10:47: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  10:47: ,£0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£60.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  10:49: ,£0.00,Pre-NtO Full Rate,Burlington Street,Hulme,Affixed to vehicle,No Waiting,£70.00,1,Parked in a restricted street during prescribed hours 
05/03/2020  10:50: ,-£30.00,Post NtO,Oxford Road (Hathersage Road To Denmark Road),Rusholme,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  10:51: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  10:51: ,£0.00,Post NtO,Oxford Road (Hathersage Road To Denmark Road),Rusholme,CCTV Issue,Bus Lane,£60.00,34,Driving in a Bus Lane or Bus Gate
05/03/2020  10:52: ,£0.00,Post NtO,Cheetham Hill Road,Cheetham,Postal-vehicle drive away,Restricted Area,£70.00,26,Vehicle parked more than 50 centimetres from the edge of the carriageway and not within a designated parking place. 
05/03/2020  10:53: ,£0.00,Pre-NtO Full Rate,St Mary`s Parsonage,Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
05/03/2020  10:53: ,-£35.00,Pre-NtO Discount,Cheetham Hill Road,Cheetham,Affixed to vehicle,Restricted Area,£0.00,1,Parked in a restricted street during prescribed hours 
