Issued,Paid,Status,Location,Ward,Ticket Destination,Zone Name,Outstanding,Contravention,Contravention Description
01/03/2020  01:14: ,-£35.00,Pre-NtO Discount,Deansgate,Deansgate,Affixed to vehicle,No Waiting At Any Time,£0.00,1,Parked in a restricted street during prescribed hours 
01/03/2020  01:14: ,-£35.00,Pre-NtO Discount,Deansgate,Deansgate,Affixed to vehicle,Disabled Persons Parking Place,£0.00,40,Parked in a designated disabled person's parking place without displaying a valid disabled person's badge. 
01/03/2020  01:14: ,-£25.00,Pre-NtO Discount,Bridge Street Car Park,Deansgate,Affixed to vehicle,Car Park,£0.00,83,Parked in a car park without clearly displaying a valid pay & display ticket or voucher or parking clock
01/03/2020  01:14: ,-£35.00,Post NtO,Watson Street,Deansgate,Postal-vehicle drive away,No Loading at Any Time,£0.00,2,Parked or loading/unloading in a restricted street where waiting and loading/unloading restrictions are in force 
01/03/2020  01:18: ,£0.00,Pre-NtO Full Rate,Queen Street,Deansgate,Affixed to vehicle,No Waiting At Any Time,£70.00,1,Parked in a restricted street during prescribed hours 
01/03/2020  01:22: ,£0.00,Pre-NtO Full Rate,LONGWORTH STREET,Southern Lap,Affixed to vehicle,No Waiting At Any Time,£70.00,1,Parked in a restricted street during prescribed hours 
01/03/2020  01:23: ,£0.00,Pre-NtO Full Rate,Wood Street (City Centre),Deansgate,Affixed to vehicle,No Waiting At Any Time,£70.00,1,Parked in a restricted street during prescribed hours 
01/03/2020  01:25: ,-£70.00,Pre-NtO Discount,Oxford Road (Ardwick),Ardwick,Affixed to vehicle,No Loading at Any Time,£0.00,2,Parked or loading/unloading in a restricted street where waiting and loading/unloading restrictions are in force 
01/03/2020  01:26: ,-£35.00,Pre-NtO Discount,Oak Street (City Centre),Piccadilly,Affixed to vehicle,No Waiting At Any Time,£0.00,1,Parked in a restricted street during prescribed hours 
01/03/2020  01:26: ,-£35.00,Pre-NtO Discount,Queen Street,Deansgate,Affixed to vehicle,No Waiting At Any Time,£0.00,1,Parked in a restricted street during prescribed hours 
01/03/2020  01:27: ,-£35.00,Pre-NtO Discount,Oxford Road (Ardwick),Ardwick,Handed To Driver,No Loading at Any Time,£0.00,2,Parked or loading/unloading in a restricted street where waiting and loading/unloading restrictions are in force 
01/03/2020  01:27: ,-£35.00,Pre-NtO Discount,Wood Street (City Centre),Deansgate,Affixed to vehicle,No Waiting At Any Time,£0.00,1,Parked in a restricted street during prescribed hours 
01/03/2020  01:28: ,-£35.00,Pre-NtO Discount,ARTILLERY STREET,Southern Lap,Affixed to vehicle,No Waiting At Any Time,£0.00,1,Parked in a restricted street during prescribed hours 
01/03/2020  01:29: ,-£35.00,Pre-NtO Discount,Oak Street (City Centre),Piccadilly,Affixed to vehicle,No Waiting At Any Time,£0.00,1,Parked in a restricted street during prescribed hours 
01/03/2020  01:30: ,£0.00,Pre-NtO Full Rate,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
01/03/2020  01:30: ,-£30.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
01/03/2020  01:30: ,-£30.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
01/03/2020  01:31: ,-£35.00,Pre-NtO Discount,Wood Street (City Centre),Deansgate,Affixed to vehicle,No Waiting At Any Time,£0.00,1,Parked in a restricted street during prescribed hours 
01/03/2020  01:31: ,£0.00,Pre-NtO Full Rate,ARTILLERY STREET,Southern Lap,Affixed to vehicle,No Waiting At Any Time,£70.00,1,Parked in a restricted street during prescribed hours 
01/03/2020  01:33: ,£0.00,Pre-NtO Full Rate,Wood Street (City Centre),Deansgate,Affixed to vehicle,No Waiting At Any Time,£70.00,1,Parked in a restricted street during prescribed hours 
01/03/2020  01:34: ,-£35.00,Pre-NtO Discount,Queen Street,Deansgate,Affixed to vehicle,No Waiting At Any Time,£0.00,1,Parked in a restricted street during prescribed hours 
01/03/2020  01:34: ,£0.00,Pre-NtO Full Rate,Wood Street (City Centre),Deansgate,Affixed to vehicle,No Waiting At Any Time,£70.00,1,Parked in a restricted street during prescribed hours 
01/03/2020  01:36: ,£0.00,Pre-NtO Full Rate,Wood Street (City Centre),Deansgate,Affixed to vehicle,No Waiting At Any Time,£70.00,1,Parked in a restricted street during prescribed hours 
01/03/2020  01:36: ,-£35.00,Pre-NtO Discount,ARTILLERY STREET,Southern Lap,Affixed to vehicle,No Waiting At Any Time,£0.00,1,Parked in a restricted street during prescribed hours 
01/03/2020  01:36: ,-£35.00,Pre-NtO Discount,Queen Street,Deansgate,Affixed to vehicle,No Waiting At Any Time,£0.00,1,Parked in a restricted street during prescribed hours 
01/03/2020  01:38: ,£0.00,Pre-NtO Full Rate,Queen Street,Deansgate,Affixed to vehicle,No Waiting At Any Time,£70.00,1,Parked in a restricted street during prescribed hours 
01/03/2020  01:39: ,£0.00,Pre-NtO Full Rate,Dolefield,Deansgate,Affixed to vehicle,No Waiting At Any Time,£70.00,1,Parked in a restricted street during prescribed hours 
01/03/2020  01:41: ,£0.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£60.00,34,Driving in a Bus Lane or Bus Gate
01/03/2020  01:41: ,-£35.00,Pre-NtO Discount,Dolefield,Deansgate,Affixed to vehicle,No Waiting At Any Time,£0.00,1,Parked in a restricted street during prescribed hours 
01/03/2020  01:42: ,£0.00,Pre-NtO Full Rate,Queen Street,Deansgate,Affixed to vehicle,No Waiting At Any Time,£70.00,1,Parked in a restricted street during prescribed hours 
01/03/2020  01:43: ,£0.00,Pre-NtO Full Rate,Dolefield,Deansgate,Handed To Driver,No Waiting At Any Time,£70.00,1,Parked in a restricted street during prescribed hours 
01/03/2020  01:45: ,-£35.00,Pre-NtO Discount,Dolefield,Deansgate,Affixed to vehicle,No Waiting At Any Time,£0.00,1,Parked in a restricted street during prescribed hours 
01/03/2020  01:45: ,-£30.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
01/03/2020  01:52: ,-£35.00,Pre-NtO Discount,Newton Street (City Centre),Piccadilly,Affixed to vehicle,GV Loading Bay,£0.00,23,Parked in a parking place or area not designated for that class of vehicle 
01/03/2020  01:53: ,-£70.00,Pre-NtO Full Rate,Newton Street (City Centre),Piccadilly,Affixed to vehicle,GV Loading Bay,£0.00,23,Parked in a parking place or area not designated for that class of vehicle 
01/03/2020  01:56: ,-£35.00,Pre-NtO Discount,Newton Street (City Centre),Piccadilly,Affixed to vehicle,GV Loading Bay,£0.00,23,Parked in a parking place or area not designated for that class of vehicle 
01/03/2020  01:56: ,£0.00,Pre-NtO Full Rate,John Dalton Street,Deansgate,Affixed to vehicle,No Waiting At Any Time,£70.00,1,Parked in a restricted street during prescribed hours 
01/03/2020  01:57: ,-£35.00,Pre-NtO Discount,Ridgefield,Deansgate,Affixed to vehicle,No Waiting At Any Time,£0.00,1,Parked in a restricted street during prescribed hours 
