Issued At,Paid,Location,Ward,Ticket Destination,Zone Name,OS Bal,Cont
12/04/2022 00:01,£0.00,BLOOM STREET CAR PARK,Piccadilly,Affixed to vehicle,MC1349,Car Park,73
12/04/2022 07:59,£0.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1260,Car Park,73
12/04/2022 08:03,£0.00,PICCADILLY GARDENS CAR PARK,(None),Affixed to vehicle,MC1505,Car Park,73
12/04/2022 08:04,£0.00,NORTHERN QUARTER CAR PARK,(None),Affixed to vehicle,MC1378,Car Park,73
12/04/2022 08:07,£25.00,PICCADILLY GARDENS CAR PARK,(None),Affixed to vehicle,MC1505,Car Park,73
12/04/2022 08:25,£25.00,BLOOM STREET CAR PARK,Piccadilly,Affixed to vehicle,MC1145,Car Park,82
12/04/2022 08:27,£25.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1399,Car Park,73
12/04/2022 08:45,£0.00,KING STREET WEST CAR PARK,(None),Affixed to vehicle,MC1397,Car Park,73
12/04/2022 08:48,£25.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1403,Car Park,73
12/04/2022 08:51,£25.00,KING STREET WEST CAR PARK,(None),Affixed to vehicle,MC1397,Car Park,73
12/04/2022 08:56,£25.00,KING STREET WEST CAR PARK,(None),Affixed to vehicle,MC1397,Car Park,73
12/04/2022 08:59,£0.00,KING STREET WEST CAR PARK,(None),Affixed to vehicle,MC1397,Car Park,73
12/04/2022 09:06,£25.00,HULME STREET CAR PARK,Deansgate,Affixed to vehicle,MC1480,Car Park,73
12/04/2022 09:07,£0.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1399,Car Park,73
12/04/2022 09:35,£25.00,HULME STREET CAR PARK,Deansgate,Affixed to vehicle,MC1480,Car Park,73
12/04/2022 09:37,£25.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1235,Car Park,73
12/04/2022 09:39,£25.00,NORTHERN QUARTER CAR PARK,(None),Affixed to vehicle,MC1378,Car Park,73
12/04/2022 09:51,£25.00,KING STREET WEST CAR PARK,(None),Affixed to vehicle,MC1397,Car Park,73
12/04/2022 09:53,£25.00,SHEFFIELD STREET CAR PARK,Piccadilly,Affixed to vehicle,MC1145,Car Park,82
12/04/2022 09:55,£0.00,CHINA TOWN CAR PARK,(None),Affixed to vehicle,MC1532,Car Park,73
12/04/2022 09:56,£0.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1235,Car Park,73
12/04/2022 09:56,£25.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1399,Car Park,73
12/04/2022 10:04,£25.00,KING STREET WEST CAR PARK,(None),Affixed to vehicle,MC1397,Car Park,73
12/04/2022 10:05,£0.00,SHEFFIELD STREET CAR PARK,Piccadilly,Affixed to vehicle,MC303,Car Park,73
12/04/2022 10:10,£0.00,SHEFFIELD STREET CAR PARK,Piccadilly,Spoil,MC303,Car Park,73
12/04/2022 10:11,£25.00,SHEFFIELD STREET CAR PARK,Piccadilly,Affixed to vehicle,MC303,Car Park,73
12/04/2022 10:11,£0.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1505,Car Park,73
12/04/2022 10:13,£25.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1235,Car Park,73
12/04/2022 10:13,£0.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1260,Car Park,86
12/04/2022 10:25,£0.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1403,Car Park,73
12/04/2022 10:27,£25.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1260,Car Park,73
12/04/2022 10:35,£25.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1399,Car Park,73
12/04/2022 10:49,£25.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1235,Car Park,73
12/04/2022 10:54,£35.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1235,Car Park,87
12/04/2022 10:55,£0.00,NORTHERN QUARTER CAR PARK,(None),Affixed to vehicle,MC1378,Car Park,73
12/04/2022 10:58,£0.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1260,Car Park,73
12/04/2022 11:09,£0.00,KING STREET WEST CAR PARK,(None),Affixed to vehicle,MC1397,Car Park,73
12/04/2022 11:09,£0.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1399,Car Park,73
12/04/2022 11:17,£0.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1403,Car Park,73
12/04/2022 11:26,£25.00,BRIDGEWATER HALL CAR PARK,Southern Lap,Affixed to vehicle,MC1415,Car Park,73
12/04/2022 11:33,£0.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1413,Car Park,73
12/04/2022 11:42,£0.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1505,Car Park,73
12/04/2022 11:43,£25.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1403,Car Park,73
12/04/2022 11:57,£25.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1505,Car Park,73
12/04/2022 12:03,£25.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1505,Car Park,73
12/04/2022 12:03,£0.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1413,Car Park,73
12/04/2022 12:04,£25.00,PICCADILLY GARDENS CAR PARK,(None),Affixed to vehicle,MC1482,Car Park,73
12/04/2022 12:06,£25.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1403,Car Park,73
12/04/2022 12:07,£25.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1477,Car Park,73
12/04/2022 12:10,£0.00,PICCADILLY GARDENS CAR PARK,(None),Affixed to vehicle,MC1482,Car Park,73
12/04/2022 12:10,£0.00,NORTHERN QUARTER CAR PARK,(None),Affixed to vehicle,MC1378,Car Park,73
12/04/2022 12:12,£0.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1403,Car Park,73
12/04/2022 12:14,£0.00,PICCADILLY GARDENS CAR PARK,(None),Affixed to vehicle,MC1482,Car Park,73
12/04/2022 12:17,£25.00,KING STREET WEST CAR PARK,(None),Affixed to vehicle,MC1415,Car Park,73
12/04/2022 12:17,£25.00,NORTHERN QUARTER CAR PARK,(None),Affixed to vehicle,MC1378,Car Park,73
12/04/2022 12:17,£0.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1235,Car Park,73
12/04/2022 12:18,£25.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1260,Car Park,81
12/04/2022 12:20,£0.00,KING STREET WEST CAR PARK,(None),Affixed to vehicle,MC1415,Car Park,73
12/04/2022 12:21,£25.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1505,Car Park,73
12/04/2022 12:25,£0.00,KING STREET WEST CAR PARK,(None),Affixed to vehicle,MC1415,Car Park,73
12/04/2022 12:25,£0.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1505,Car Park,73
12/04/2022 12:31,£25.00,KING STREET WEST CAR PARK,(None),Affixed to vehicle,MC1415,Car Park,73
12/04/2022 12:40,£0.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1235,Car Park,73
12/04/2022 12:40,£0.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1413,Car Park,73
12/04/2022 12:45,£0.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1413,Car Park,73
12/04/2022 12:45,£0.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1235,Car Park,73
12/04/2022 12:47,£25.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1403,Car Park,73
12/04/2022 12:56,£0.00,KING STREET WEST CAR PARK,(None),Affixed to vehicle,MC1415,Car Park,73
12/04/2022 13:00,£25.00,PICCADILLY GARDENS CAR PARK,(None),Affixed to vehicle,MC1482,Car Park,73
12/04/2022 13:08,£25.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1235,Car Park,73
12/04/2022 13:16,£0.00,KING STREET WEST CAR PARK,(None),Affixed to vehicle,MC1397,Car Park,73
12/04/2022 13:16,£25.00,KING STREET WEST CAR PARK,(None),Affixed to vehicle,MC1415,Car Park,73
12/04/2022 13:19,£0.00,KING STREET WEST CAR PARK,(None),Affixed to vehicle,MC1397,Car Park,73
12/04/2022 13:24,£0.00,KING STREET WEST CAR PARK,(None),Affixed to vehicle,MC1397,Car Park,73
12/04/2022 13:30,£25.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1477,Car Park,73
12/04/2022 13:47,£0.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1406,Car Park,73
12/04/2022 13:50,£25.00,Wythenshawe Forum Car Park,Baguley,Affixed to vehicle,MC1089,Car Park,82
12/04/2022 13:54,£0.00,Wythenshawe Forum Car Park,Baguley,Affixed to vehicle,mc1494,Car Park,87
12/04/2022 13:59,£25.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1378,Car Park,73
12/04/2022 14:01,£25.00,Wythenshawe Forum Car Park,Baguley,Affixed to vehicle,MC1089,Car Park,82
12/04/2022 14:07,£25.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1235,Car Park,73
12/04/2022 14:26,£25.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1477,Car Park,73
12/04/2022 14:26,£25.00,NORTHERN QUARTER CAR PARK,(None),Affixed to vehicle,MC1482,Car Park,73
12/04/2022 14:29,£0.00,NORTHERN QUARTER CAR PARK,(None),Affixed to vehicle,MC1505,Car Park,73
12/04/2022 14:29,£25.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1415,Car Park,73
12/04/2022 14:31,£25.00,NORTHERN QUARTER CAR PARK,(None),Affixed to vehicle,MC1482,Car Park,82
12/04/2022 14:31,£25.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1413,Car Park,73
12/04/2022 14:32,£25.00,NORTHERN QUARTER CAR PARK,(None),Affixed to vehicle,MC1505,Car Park,73
12/04/2022 14:34,£0.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1399,Car Park,73
12/04/2022 14:37,£0.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1413,Car Park,73
12/04/2022 14:41,£25.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1260,Car Park,73
12/04/2022 14:44,£25.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1399,Car Park,73
12/04/2022 14:47,£25.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1378,Car Park,73
12/04/2022 14:59,£0.00,CHINA TOWN CAR PARK,(None),Affixed to vehicle,MC1472,Car Park,73
12/04/2022 15:08,£25.00,CHINA TOWN CAR PARK,(None),Affixed to vehicle,MC1472,Car Park,73
12/04/2022 15:11,£25.00,CHINA TOWN CAR PARK,(None),Affixed to vehicle,MC1440,Car Park,73
12/04/2022 15:16,£0.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1378,Car Park,73
12/04/2022 15:19,£0.00,HULME STREET CAR PARK,Deansgate,Affixed to vehicle,MC1480,Car Park,73
12/04/2022 15:22,£0.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1378,Car Park,73
12/04/2022 15:27,£25.00,CHINA TOWN CAR PARK,(None),Affixed to vehicle,MC1440,Car Park,73
12/04/2022 15:33,£0.00,Wythenshawe Forum Car Park,Baguley,Affixed to vehicle,mc1494,Car Park,83
12/04/2022 15:51,£0.00,School Lane (South Carpark),DidsburyWest,Affixed to vehicle,MC1442,Parking Place,73
12/04/2022 16:13,£25.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1505,Car Park,73
12/04/2022 16:17,£25.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1505,Car Park,73
12/04/2022 16:21,£25.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1415,Car Park,82
12/04/2022 16:29,£50.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1415,Car Park,82
12/04/2022 16:31,£25.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1406,Car Park,73
12/04/2022 16:32,£50.00,Chepstow Street Car Park,Deansgate,Affixed to vehicle,MC1530,Car Park,82
12/04/2022 16:41,£25.00,Chepstow Street Car Park,Deansgate,Affixed to vehicle,MC1530,Car Park,82
12/04/2022 16:43,£25.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1477,Car Park,73
12/04/2022 16:45,£0.00,KING STREET WEST CAR PARK,(None),Affixed to vehicle,MC1413,Car Park,73
12/04/2022 16:55,£0.00,KING STREET WEST CAR PARK,(None),Affixed to vehicle,MC1413,Car Park,82
12/04/2022 16:58,£25.00,School Lane (North Carpark),DidsburyWest,Affixed to vehicle,MC1442,Parking Place,73
12/04/2022 17:04,£25.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1482,Car Park,73
12/04/2022 17:06,£25.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1415,Car Park,82
12/04/2022 17:17,£0.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1406,Car Park,73
12/04/2022 17:19,£25.00,HULME STREET CAR PARK,Deansgate,Affixed to vehicle,MC1530,Car Park,73
12/04/2022 17:22,£25.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1415,Car Park,73
12/04/2022 17:25,£25.00,KING STREET WEST CAR PARK,(None),Affixed to vehicle,MC1413,Car Park,73
12/04/2022 17:40,£0.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1482,Car Park,73
12/04/2022 17:40,£25.00,KING STREET WEST CAR PARK,(None),Affixed to vehicle,MC1413,Car Park,73
12/04/2022 17:43,£0.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1477,Car Park,73
12/04/2022 17:52,£25.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1477,Car Park,73
12/04/2022 17:57,£0.00,NORTHERN QUARTER CAR PARK,(None),Affixed to vehicle,MC1406,Car Park,73
12/04/2022 18:12,£0.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1415,Car Park,73
12/04/2022 18:20,£0.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1415,Car Park,73
12/04/2022 18:56,£25.00,Bridge Street Car Park,Deansgate,Affixed to vehicle,MC1460,Car Park,73
12/04/2022 19:44,£25.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1342,Car Park,73
12/04/2022 19:45,£25.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1349,Car Park,73
12/04/2022 19:51,£25.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1342,Car Park,73
12/04/2022 19:51,£0.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1349,Car Park,73
12/04/2022 20:15,£0.00,CHINA TOWN CAR PARK,(None),Affixed to vehicle,MC1460,Car Park,73
12/04/2022 20:20,£25.00,CHINA TOWN CAR PARK,(None),Affixed to vehicle,MC1460,Car Park,82
12/04/2022 20:22,£25.00,CHINA TOWN CAR PARK,(None),Affixed to vehicle,MC1434,Car Park,73
12/04/2022 20:26,£25.00,CHINA TOWN CAR PARK,(None),Affixed to vehicle,MC1534,Car Park,73
12/04/2022 21:47,£25.00,Bridge Street Car Park,Deansgate,Affixed to vehicle,MC1135,Car Park,73
12/04/2022 21:50,£25.00,PICCADILLY GARDENS CAR PARK,(None),Affixed to vehicle,MC1349,Car Park,73
12/04/2022 21:56,£0.00,Bridge Street Car Park,Deansgate,Affixed to vehicle,MC1436,Car Park,73
12/04/2022 22:14,£0.00,STONE STREET CAR PARK,Deansgate,Affixed to vehicle,MC1543,Car Park,73
12/04/2022 22:23,£0.00,NORTHERN QUARTER CAR PARK,(None),Affixed to vehicle,MC1342,Car Park,73
12/04/2022 22:23,£0.00,NORTHERN QUARTER CAR PARK,(None),Affixed to vehicle,MC1349,Car Park,73
12/04/2022 22:52,£25.00,Chepstow Street Car Park,Deansgate,Affixed to vehicle,MC1438,Car Park,73
13/04/2022 04:04,£0.00,BLOOM STREET CAR PARK,Piccadilly,Affixed to vehicle,MC1349,Car Park,73
13/04/2022 07:59,£0.00,NORTHERN QUARTER CAR PARK,(None),Affixed to vehicle,MC1378,Car Park,73
13/04/2022 08:02,£25.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1235,Car Park,73
13/04/2022 08:06,£0.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1235,Car Park,73
13/04/2022 08:09,£25.00,NORTHERN QUARTER CAR PARK,(None),Affixed to vehicle,MC1378,Car Park,81
13/04/2022 08:16,£25.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1260,Car Park,86
13/04/2022 08:20,£25.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1399,Car Park,73
13/04/2022 08:28,£25.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1260,Car Park,73
13/04/2022 08:48,£0.00,KING STREET WEST CAR PARK,(None),Affixed to vehicle,MC1397,Car Park,73
13/04/2022 08:49,£25.00,PICCADILLY GARDENS CAR PARK,(None),Affixed to vehicle,MC1378,Car Park,86
13/04/2022 08:49,£0.00,NORTHERN QUARTER CAR PARK,(None),Affixed to vehicle,MC1403,Car Park,73
13/04/2022 08:57,£25.00,NORTHERN QUARTER CAR PARK,(None),Affixed to vehicle,MC1403,Car Park,73
13/04/2022 09:18,£25.00,Bridge Street Car Park,Deansgate,Affixed to vehicle,MC1537,Car Park,73
13/04/2022 09:22,£25.00,PICCADILLY GARDENS CAR PARK,(None),Affixed to vehicle,MC1378,Car Park,73
13/04/2022 09:23,£25.00,NORTHERN QUARTER CAR PARK,(None),Affixed to vehicle,MC1123,Car Park,73
13/04/2022 09:25,£25.00,PICCADILLY GARDENS CAR PARK,(None),Affixed to vehicle,MC1378,Car Park,73
13/04/2022 09:29,£0.00,PICCADILLY GARDENS CAR PARK,(None),Affixed to vehicle,MC1378,Car Park,73
13/04/2022 09:31,£25.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1399,Car Park,73
13/04/2022 09:35,£0.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1235,Car Park,73
13/04/2022 09:36,£0.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1260,Car Park,73
13/04/2022 10:00,£25.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1235,Car Park,73
13/04/2022 10:04,£25.00,KING STREET WEST CAR PARK,(None),Affixed to vehicle,MC1397,Car Park,73
13/04/2022 10:15,£25.00,KING STREET WEST CAR PARK,(None),Affixed to vehicle,MC1505,Car Park,73
13/04/2022 10:18,£25.00,KING STREET WEST CAR PARK,(None),Affixed to vehicle,MC1397,Car Park,73
13/04/2022 10:24,£0.00,KING STREET WEST CAR PARK,(None),Affixed to vehicle,MC1505,Car Park,73
13/04/2022 10:35,£25.00,NORTHERN QUARTER CAR PARK,(None),Affixed to vehicle,MC1123,Car Park,73
13/04/2022 10:51,£25.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1235,Car Park,73
13/04/2022 11:02,£25.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1413,Car Park,73
13/04/2022 11:06,£0.00,NORTHERN QUARTER CAR PARK,(None),Affixed to vehicle,MC1378,Car Park,73
13/04/2022 11:08,£25.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1413,Car Park,73
13/04/2022 11:09,£25.00,Hall Car Park,(None),Affixed to vehicle,MC1471,Car Park,83
13/04/2022 11:14,£25.00,Hall Car Park,(None),Affixed to vehicle,MC1471,Car Park,86
13/04/2022 11:19,£0.00,NORTHERN QUARTER CAR PARK,(None),Affixed to vehicle,MC1378,Car Park,86
13/04/2022 11:19,£25.00,HULME STREET CAR PARK,Deansgate,Affixed to vehicle,MC1489,Car Park,73
13/04/2022 11:21,£0.00,PICCADILLY GARDENS CAR PARK,(None),Affixed to vehicle,MC1123,Car Park,73
13/04/2022 11:21,£25.00,NORTHERN QUARTER CAR PARK,(None),Affixed to vehicle,MC1415,Car Park,73
13/04/2022 11:23,£0.00,HULME STREET CAR PARK,Deansgate,Affixed to vehicle,MC1489,Car Park,73
13/04/2022 11:26,£0.00,PICCADILLY GARDENS CAR PARK,(None),Handed To Driver,MC1123,Car Park,73
13/04/2022 11:27,£0.00,NORTHERN QUARTER CAR PARK,(None),Affixed to vehicle,MC1415,Car Park,73
13/04/2022 11:35,£0.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1413,Car Park,73
13/04/2022 11:37,£50.00,Wythenshawe Forum Car Park,Baguley,Affixed to vehicle,MC1089,Car Park,83
13/04/2022 11:40,£0.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1413,Car Park,73
13/04/2022 11:42,£25.00,KING STREET WEST CAR PARK,(None),Affixed to vehicle,MC1397,Car Park,73
13/04/2022 11:43,£0.00,CHINA TOWN CAR PARK,(None),Affixed to vehicle,mc1525,Car Park,73
13/04/2022 11:44,£0.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1413,Car Park,73
13/04/2022 11:48,£0.00,KING STREET WEST CAR PARK,(None),Affixed to vehicle,MC1397,Car Park,73
13/04/2022 11:48,£0.00,ARNDALE CAR PARK,(None),Affixed to vehicle,MC1413,Car Park,73
13/04/2022 11:52,£25.00,CHINA TOWN CAR PARK,(None),Affixed to vehicle,mc1525,Car Park,73
13/04/2022 12:03,£25.00,HULME STREET CAR PARK,Deansgate,Affixed to vehicle,MC1489,Car Park,73
13/04/2022 12:05,£25.00,KING STREET WEST CAR PARK,(None),Affixed to vehicle,MC1397,Car Park,73
