Issued,Paid,Status,Location,Ward,Ticket Destination,Zone Name,Outstanding,Offence
01/11/2020 05:57,0.00,Pre-NtO Full Rate,Charlestown Road,Charlestown,Affixed to vehicle,No Waiting At Any Time,œ70.00,1
01/11/2020 06:05,-30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,œ0.00,34
01/11/2020 06:05,-30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,œ0.00,34
01/11/2020 06:07,-30.00,Post NtO,Oxford Road (Hathersage Road To Denmark Road),Rusholme,CCTV Issue,Bus Lane,œ0.00,34
01/11/2020 06:17,-30.00,Post NtO,Oxford Road (Hathersage Road To Denmark Road),Rusholme,CCTV Issue,Bus Lane,œ0.00,34
01/11/2020 07:12,-30.00,Post NtO,Rochdale Road (Lathbury Road to Queens Road),MP&NH,CCTV Issue,Restricted Area,œ0.00,34
01/11/2020 07:23,-30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,œ0.00,34
01/11/2020 07:32,0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,œ30.00,34
01/11/2020 07:49,-30.00,Post NtO,Oxford Road (Hathersage Road To Denmark Road),Rusholme,CCTV Issue,Bus Lane,œ0.00,34
01/11/2020 07:58,-35.00,Pre-NtO Discount,Great Marlborough Street,Deansgate,Affixed to vehicle,Disabled Persons Parking Place,œ0.00,40
01/11/2020 08:09,0.00,Pre-NtO Full Rate,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,œ0.00,34
01/11/2020 08:11,0.00,Pre-NtO Full Rate,Major Street,Piccadilly,Affixed to vehicle,Pay and Display Parking,œ50.00,6
01/11/2020 08:12,0.00,Pre-NtO Full Rate,Lower Ormond Street (City Centre),Deansgate,Affixed to vehicle,Pay and Display Parking,œ50.00,6
01/11/2020 08:14,-25.00,Pre-NtO Discount,South King Street,Deansgate,Affixed to vehicle,Pay and Display Parking,œ0.00,5
01/11/2020 08:15,-25.00,Pre-NtO Discount,Major Street,Piccadilly,Affixed to vehicle,Pay and Display Parking,œ0.00,24
01/11/2020 08:15,-30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,œ0.00,34
01/11/2020 08:17,-25.00,Pre-NtO Discount,South King Street,Deansgate,Affixed to vehicle,Pay and Display Parking,œ0.00,6
01/11/2020 08:19,-30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,œ0.00,34
01/11/2020 08:20,-140.00,Pre-NtO Discount,Stockland Close,Ardwick,Affixed to vehicle,No Waiting At Any Time,œ0.00,27
01/11/2020 08:21,-50.00,Pre-NtO Full Rate,Houldsworth Street (City Centre),Piccadilly,Affixed to vehicle,Pay and Display Parking,œ0.00,6
01/11/2020 08:22,-140.00,Pre-NtO Discount,Scotland,Cheetham,Affixed to vehicle,Restricted Areas,œ0.00,27
01/11/2020 08:22,-70.00,Pre-NtO Discount,Stockland Close,Ardwick,Affixed to vehicle,No Waiting At Any Time,œ0.00,1
01/11/2020 08:23,-35.00,Pre-NtO Discount,Ellesmere Street,Hulme,Affixed to vehicle,No Waiting At Any Time,œ0.00,1
01/11/2020 08:23,-50.00,Pre-NtO Full Rate,Dale Street (City Centre),Piccadilly,Affixed to vehicle,Restricted Area,œ0.00,6
01/11/2020 08:23,0.00,Pre-NtO Full Rate,Southmill Street,Deansgate,Affixed to vehicle,Pay and Display Parking,œ50.00,5
01/11/2020 08:24,0.00,Pre-NtO Full Rate,Minshull Street,Piccadilly,Affixed to vehicle,Pay and Display Parking,œ50.00,6
01/11/2020 08:25,0.00,Cancelled,Hulme Street (City Centre : CENTRAL),Deansgate,Affixed to vehicle,Pay and Display Parking,œ0.00,6
01/11/2020 08:27,-30.00,Post NtO,Hunts Bank (Victoria Station Approach To Walkers Croft),Central,CCTV Issue,Bus Lane,œ0.00,34
01/11/2020 08:28,0.00,Pre-NtO Full Rate,Houldsworth Street (City Centre),Piccadilly,Affixed to vehicle,No Waiting,œ70.00,1
01/11/2020 08:29,-25.00,Pre-NtO Discount,Hulme Street (City Centre : CENTRAL),Deansgate,Affixed to vehicle,Pay and Display Parking,œ0.00,6
01/11/2020 08:33,-140.00,Pre-NtO Discount,Spear Street (City Centre),Piccadilly,Affixed to vehicle,No Waiting,œ0.00,1
01/11/2020 08:33,-35.00,Pre-NtO Full Rate,Fog Lane (Burnage),Burnage,Affixed to vehicle,No Waiting At Any Time,œ0.00,27
01/11/2020 08:36,-25.00,Pre-NtO Discount,Southmill Street,Deansgate,Affixed to vehicle,Pay and Display Parking,œ0.00,5
01/11/2020 08:36,0.00,Pre-NtO Full Rate,Whitworth Street East,Clayt & Open,Affixed to vehicle,No Waiting At Any Time,œ70.00,1
01/11/2020 08:36,-140.00,Pre-NtO Discount,Greenheys Lane,Hulme,Affixed to vehicle,Bus Stand,œ0.00,47
01/11/2020 08:38,-30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,œ0.00,34
01/11/2020 08:39,-140.00,Pre-NtO Discount,Spear Street (City Centre),Piccadilly,Affixed to vehicle,No Waiting,œ0.00,1
01/11/2020 08:41,-25.00,Pre-NtO Discount,King Street West,Deansgate,Affixed to vehicle,Pay and Display Parking,œ0.00,6
01/11/2020 08:42,-30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,œ0.00,34
01/11/2020 08:42,-25.00,Pre-NtO Discount,Southmill Street,Deansgate,Affixed to vehicle,Pay and Display Parking,œ0.00,6
01/11/2020 08:44,0.00,Pre-NtO Full Rate,Parrs Wood Road (Burnage),Burnage,Affixed to vehicle,No Waiting At Any Time,œ70.00,1
01/11/2020 08:45,-140.00,Pre-NtO Discount,Spear Street (City Centre),Piccadilly,Affixed to vehicle,No Waiting,œ0.00,1
01/11/2020 08:45,-35.00,Pre-NtO Discount,Boundary Lane,Hulme,Affixed to vehicle,No Waiting At Any Time,œ0.00,1
01/11/2020 08:49,-30.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,œ0.00,34
01/11/2020 08:50,0.00,Pre-NtO Full Rate,River Street (City Centre : CENTRAL),Deansgate,Affixed to vehicle,Pay and Display Parking,œ50.00,5
01/11/2020 08:51,0.00,Pre-NtO Full Rate,Whitworth Street East,Clayt & Open,Affixed to vehicle,No Waiting At Any Time,œ70.00,1
01/11/2020 08:58,-25.00,Pre-NtO Discount,Museum Street,City Centre,Affixed to vehicle,Pay and Display Parking,œ0.00,5
01/11/2020 09:01,-30.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,œ0.00,34
01/11/2020 09:01,-30.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,œ0.00,34
01/11/2020 09:03,-140.00,Pre-NtO Discount,Wellington Road (Crumpsall),Crumpsall,Affixed to vehicle,No Loading,œ0.00,2
01/11/2020 09:03,-60.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,œ0.00,34
01/11/2020 09:05,0.00,Post NtO,Stamford Road (Longsight),Longsight,Postal-vehicle drive away,Disabled Persons Parking Place,œ35.00,40
01/11/2020 09:07,-30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,œ0.00,34
01/11/2020 09:08,0.00,Pre-NtO Full Rate,Back Turner Street,Piccadilly,Affixed to vehicle,No Waiting At Any Time,œ70.00,1
01/11/2020 09:11,-35.00,Pre-NtO Discount,Back Turner Street,Piccadilly,Affixed to vehicle,No Waiting At Any Time,œ0.00,1
01/11/2020 09:13,0.00,Pre-NtO Full Rate,City Road East,Deansgate,Affixed to vehicle,Pay and Display Parking,œ50.00,6
01/11/2020 09:14,0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,œ60.00,34
01/11/2020 09:14,-35.00,Pre-NtO Discount,Back Turner Street,Piccadilly,Affixed to vehicle,No Waiting At Any Time,œ0.00,1
01/11/2020 09:15,-25.00,Pre-NtO Discount,Mount Street (City Centre : ZONEA),Deansgate,Affixed to vehicle,Pay and Display Parking,œ0.00,5
01/11/2020 09:17,0.00,Pre-NtO Full Rate,Back Turner Street,Piccadilly,Affixed to vehicle,No Waiting At Any Time,œ70.00,1
01/11/2020 09:17,0.00,Pre-NtO Full Rate,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,œ0.00,34
01/11/2020 09:24,-25.00,Pre-NtO Discount,Little Peter Street,Deansgate,Affixed to vehicle,Pay and Display Parking,œ0.00,6
01/11/2020 09:26,-30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,œ0.00,34
01/11/2020 09:27,-25.00,Pre-NtO Discount,Little Peter Street,Deansgate,Affixed to vehicle,Pay and Display Parking,œ0.00,6
01/11/2020 09:28,0.00,Pre-NtO Full Rate,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,œ0.00,34
01/11/2020 09:32,-25.00,Pre-NtO Discount,Chepstow Street South,Deansgate,Affixed to vehicle,Pay and Display Parking,œ0.00,5
01/11/2020 09:34,-25.00,Pre-NtO Discount,Birchin Lane,Piccadilly,Affixed to vehicle,Pay and Display Parking,œ0.00,6
01/11/2020 09:34,0.00,Post NtO,Rochdale Road (Livesey Street to Thompson Street),Harpurhey,CCTV Issue,Bus Lane,œ60.00,34
01/11/2020 09:39,0.00,Pre-NtO Full Rate,Weller Avenue,ChorltonPark,Affixed to vehicle,Restricted Area,œ70.00,27
01/11/2020 09:39,0.00,Cancelled,Deansgate,Deansgate,Affixed to vehicle,Pay and Display Parking,œ0.00,6
01/11/2020 09:40,0.00,Post NtO,Oxford Road (Hathersage Road To Denmark Road),Rusholme,CCTV Issue,Bus Lane,œ30.00,34
01/11/2020 09:41,0.00,Pre-NtO Full Rate,Chapel Street (Levenshulme),Levenshulme,Affixed to vehicle,No Waiting At Any Time,œ523.00,1
01/11/2020 09:41,0.00,Pre-NtO Full Rate,Dickinson Street,Deansgate,Handed To Driver,Pay and Display Parking,œ50.00,5
01/11/2020 09:41,0.00,Pre-NtO Full Rate,Deansgate,Deansgate,Affixed to vehicle,Pay and Display Parking,œ50.00,6
01/11/2020 09:41,-25.00,Pre-NtO Discount,Birchin Lane,Piccadilly,Affixed to vehicle,Pay and Display Parking,œ0.00,6
01/11/2020 09:42,-35.00,Pre-NtO Discount,Alfred Street,Harpurhey,Affixed to vehicle,School Entrance Marking,œ0.00,27
01/11/2020 09:46,-25.00,Pre-NtO Discount,Great Bridgewater Street (City Centre : ZONEB),Deansgate,Affixed to vehicle,Pay and Display Parking,œ0.00,6
01/11/2020 09:49,0.00,Pre-NtO Full Rate,Lena Street,Piccadilly,Affixed to vehicle,Pay and Display Parking,œ50.00,6
01/11/2020 09:50,-35.00,Pre-NtO Discount,Barlow Moor Road (ChorltonPark),ChorltonPark,Affixed to vehicle,No Waiting At Any Time,œ0.00,1
01/11/2020 09:50,-25.00,Pre-NtO Discount,Deansgate,Deansgate,Affixed to vehicle,Pay and Display Parking,œ0.00,6
01/11/2020 09:51,-30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,œ0.00,34
01/11/2020 09:51,-35.00,Pre-NtO Discount,Whitworth Street East,Clayt & Open,Affixed to vehicle,No Waiting At Any Time,œ0.00,1
01/11/2020 09:52,-30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,œ0.00,34
01/11/2020 09:53,-25.00,Pre-NtO Discount,Deansgate,Deansgate,Affixed to vehicle,Pay and Display Parking,œ0.00,6
01/11/2020 09:54,0.00,Pre-NtO Full Rate,Abingdon Street,Piccadilly,Affixed to vehicle,Pay and Display Parking,œ50.00,6
01/11/2020 09:57,-30.00,Post NtO,Oxford Road (Hathersage Road To Denmark Road),Rusholme,CCTV Issue,Bus Lane,œ0.00,34
01/11/2020 10:00,0.00,Pre-NtO Full Rate,Whitworth Street East,Clayt & Open,Affixed to vehicle,No Waiting At Any Time,œ70.00,1
01/11/2020 10:00,-30.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,œ0.00,34
01/11/2020 10:02,0.00,Pre-NtO Full Rate,Whitworth Street East,Clayt & Open,Affixed to vehicle,No Waiting At Any Time,œ70.00,1
01/11/2020 10:02,0.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,œ60.00,34
01/11/2020 10:03,-35.00,Pre-NtO Discount,Golf Car Park,(None),Affixed to vehicle,Car Park,œ0.00,87
01/11/2020 10:03,-35.00,Pre-NtO Discount,Paton Street,Piccadilly,Affixed to vehicle,No Waiting,œ0.00,1
01/11/2020 10:05,-35.00,Pre-NtO Discount,Whitworth Street East,Clayt & Open,Affixed to vehicle,No Waiting At Any Time,œ0.00,1
01/11/2020 10:07,-50.00,Pre-NtO Full Rate,King Street,Deansgate,Affixed to vehicle,Pay and Display Parking,œ0.00,6
01/11/2020 10:10,-70.00,Post NtO,Whitworth Street East,Clayt & Open,Postal-vehicle drive away,No Waiting At Any Time,œ0.00,1
01/11/2020 10:11,0.00,Cancelled,Lake Car Park,(None),Affixed to vehicle,Car Park,œ0.00,83
01/11/2020 10:12,-25.00,Pre-NtO Discount,Auburn Street,Piccadilly,Affixed to vehicle,Pay and Display Parking,œ0.00,6
01/11/2020 10:12,0.00,Pre-NtO Full Rate,Parsonage,Deansgate,Affixed to vehicle,Pay and Display Parking,œ50.00,5
01/11/2020 10:12,-30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,œ0.00,34
01/11/2020 10:14,-30.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,œ0.00,34
01/11/2020 10:14,-50.00,Pre-NtO Full Rate,Brown Street,Deansgate,Affixed to vehicle,Pay and Display Parking,œ0.00,5
01/11/2020 10:15,-35.00,Pre-NtO Discount,Northen Grove,DidsburyWest,Affixed to vehicle,No Waiting At Any Time,œ0.00,1
01/11/2020 10:15,0.00,Cancelled,Stone Street,Deansgate,Affixed to vehicle,No Waiting At Any Time,œ0.00,1
01/11/2020 10:15,-25.00,Pre-NtO Discount,Southmill Street,Deansgate,Affixed to vehicle,Pay and Display Parking,œ0.00,6
01/11/2020 10:16,-30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,œ0.00,34
01/11/2020 10:17,-25.00,Pre-NtO Discount,Store Street (City Centre),Piccadilly,Affixed to vehicle,Pay and Display Parking,œ0.00,5
01/11/2020 10:18,-70.00,Post NtO,Whitworth Street East,Clayt & Open,Postal-vehicle drive away,No Waiting At Any Time,œ0.00,1
01/11/2020 10:19,-30.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,œ0.00,34
01/11/2020 10:19,0.00,Pre-NtO Full Rate,Aytoun Street,Piccadilly,Affixed to vehicle,Pay and Display Parking,œ50.00,6
01/11/2020 10:20,-30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,œ0.00,34
01/11/2020 10:22,0.00,Cancelled,Lake Car Park,(None),Affixed to vehicle,Car Park,œ0.00,83
01/11/2020 10:23,-35.00,Pre-NtO Discount,Perrygate Avenue,DidsburyWest,Affixed to vehicle,No Waiting At Any Time,œ0.00,1
01/11/2020 10:25,-25.00,Pre-NtO Discount,Jackson`s Row,Deansgate,Affixed to vehicle,Pay and Display Parking,œ0.00,6
01/11/2020 10:28,-30.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,œ0.00,34
01/11/2020 10:29,0.00,Pre-NtO Full Rate,Lake Car Park,(None),Affixed to vehicle,Car Park,œ50.00,83
01/11/2020 10:31,-30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,œ0.00,34
01/11/2020 10:31,-25.00,Pre-NtO Discount,Great John Street,Deansgate,Affixed to vehicle,Pay and Display Parking,œ0.00,5
01/11/2020 10:31,-30.00,Post NtO,Wilbraham Road (South of Barlow Moor Road),Chorlton,CCTV Issue,Bus Lane,œ0.00,34
01/11/2020 10:31,-30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,œ0.00,34
01/11/2020 10:32,-50.00,Pre-NtO Full Rate,Bombay Street,Piccadilly,Affixed to vehicle,Pay and Display Parking,œ0.00,6
01/11/2020 10:32,-30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,œ0.00,34
01/11/2020 10:35,-35.00,Pre-NtO Discount,Pall Mall (Piccadilly),Piccadilly,Affixed to vehicle,Restricted Area,œ0.00,25
